Gene,Category
KIAA1841,NPCbyNSC
CXorf40A,NPCbyNSC
C9orf24,NPCbyNSC
C11orf1,NPCbyNSC
C9orf85,NPCbyNSC
C1orf122,NPCbyNSC
C12orf73,NPCbyNSC
C2orf40,NPCbyNSC
C5orf49,NPCbyNSC
C9orf50,NPCbyNSC
C17orf98,NPCbyNSC
C2orf81,NPCbyNSC
C9orf116,NPCbyNSC
C1orf194,NPCbyNSC
C2orf88,NPCbyNSC
C4orf47,NPCbyNSC
C16orf46,NPCbyNSC
C22orf23,NPCbyNSC
C14orf119,NPCbyNSC
C17orf58,NPCbyNSC
RBIS,NPCbyNSC
C4orf3,NPCbyNSC
C19orf33,NPCbyNSC
C12orf43,NPCbyNSC
C11orf52,NPCbyNSC
C1orf52,NPCbyNSC
C8orf37,NPCbyNSC
C11orf95,NPCbyNSC
BMERB1,NPCbyNSC
C5orf34,NPCbyNSC
C16orf87,NPCbyNSC
C20orf194,NPCbyNSC
C12orf29,NPCbyNSC
C11orf65,NPCbyNSC
C11orf54,NPCbyNSC
BRD8,NPCbyNSC
KIAA0753,NPCbyNSC
C1orf43,NPCbyNSC
C1orf216,NPCbyNSC
C17orf75,NPCbyNSC
KIAA0408,NPCbyNSC
C1orf109,NPCbyNSC
A2M,NPCbyNSC
A4GALT,NPCbyNSC
AAMDC,NPCbyNSC
AASS,NPCbyNSC
AATK,NPCbyNSC
ABAT,NPCbyNSC
ABCA2,NPCbyNSC
ABCA5,NPCbyNSC
ABCA6,NPCbyNSC
ABCA7,NPCbyNSC
ABCA8,NPCbyNSC
ABCC10,NPCbyNSC
ABCC5,NPCbyNSC
ABCC8,NPCbyNSC
ABCC9,NPCbyNSC
ABCD4,NPCbyNSC
ABCG1,NPCbyNSC
ABCG4,NPCbyNSC
ABHD1,NPCbyNSC
ABHD11,NPCbyNSC
ABHD14A,NPCbyNSC
ABHD14B,NPCbyNSC
ABHD16A,NPCbyNSC
ABHD17A,NPCbyNSC
ABHD17B,NPCbyNSC
ABHD18,NPCbyNSC
ABHD3,NPCbyNSC
ABHD4,NPCbyNSC
ABHD6,NPCbyNSC
ABLIM2,NPCbyNSC
ABTB1,NPCbyNSC
ACAA2,NPCbyNSC
ACADM,NPCbyNSC
ACAP3,NPCbyNSC
ACAT2,NPCbyNSC
ACAT2,NPCbyNSC
ACBD4,NPCbyNSC
