"","Gene","Category"
"1","Ttr","QSVZbyPSVZ"
"2","Ptgds","QSVZbyPSVZ"
"3","Sparcl1","QSVZbyPSVZ"
"4","Lcat","QSVZbyPSVZ"
"5","Pla2g7","QSVZbyPSVZ"
"6","Mfap3l","QSVZbyPSVZ"
"7","Cxcl14","QSVZbyPSVZ"
"8","Tspan7","QSVZbyPSVZ"
"9","Gdf10","QSVZbyPSVZ"
"10","Ttyh1","QSVZbyPSVZ"
"11","Atp1a2","QSVZbyPSVZ"
"12","Kcnk1","QSVZbyPSVZ"
"13","Scg3","QSVZbyPSVZ"
"14","Grm3","QSVZbyPSVZ"
"15","Htra1","QSVZbyPSVZ"
"16","Cyp2j9","QSVZbyPSVZ"
"17","Hepacam","QSVZbyPSVZ"
"18","Fam107a","QSVZbyPSVZ"
"19","Tril","QSVZbyPSVZ"
"20","Gja1","QSVZbyPSVZ"
"21","Baalc","QSVZbyPSVZ"
"22","Atp1b2","QSVZbyPSVZ"
"23","Slc39a12","QSVZbyPSVZ"
"24","Cst3","QSVZbyPSVZ"
"25","Psap","QSVZbyPSVZ"
"26","Tmem88b","QSVZbyPSVZ"
"27","Slc6a11","QSVZbyPSVZ"
"28","Fgfr3","QSVZbyPSVZ"
"29","Mt3","QSVZbyPSVZ"
"30","Aldoa","QSVZbyPSVZ"
"31","Abhd3","QSVZbyPSVZ"
"32","Hsd11b1","QSVZbyPSVZ"
"33","S1pr1","QSVZbyPSVZ"
"34","Slc2a1","QSVZbyPSVZ"
"35","Ntsr2","QSVZbyPSVZ"
"36","Slc15a2","QSVZbyPSVZ"
"37","Crym","QSVZbyPSVZ"
"38","Gabrb1","QSVZbyPSVZ"
"39","Smpdl3a","QSVZbyPSVZ"
"40","Sepp1","QSVZbyPSVZ"
"41","Aqp4","QSVZbyPSVZ"
"42","Plp1","QSVZbyPSVZ"
"43","Il33","QSVZbyPSVZ"
"44","Sod3","QSVZbyPSVZ"
"45","Epas1","QSVZbyPSVZ"
"46","Gjb2","QSVZbyPSVZ"
"47","Slc6a1","QSVZbyPSVZ"
"48","Omg","QSVZbyPSVZ"
"49","Timp4","QSVZbyPSVZ"
"50","Cyp2d22","QSVZbyPSVZ"
"51","Grin2c","QSVZbyPSVZ"
"52","Appl2","QSVZbyPSVZ"
"53","St6galnac5","QSVZbyPSVZ"
"54","Atp13a4","QSVZbyPSVZ"
"55","Mfge8","QSVZbyPSVZ"
"56","Crim1","QSVZbyPSVZ"
"57","Slc44a1","QSVZbyPSVZ"
"58","Clu","QSVZbyPSVZ"
"59","Cadm2","QSVZbyPSVZ"
"60","Agl","QSVZbyPSVZ"
"61","Slc38a3","QSVZbyPSVZ"
"62","Chst1","QSVZbyPSVZ"
"63","Ephx2","QSVZbyPSVZ"
"64","Acsbg1","QSVZbyPSVZ"
"65","AI464131","QSVZbyPSVZ"
"66","Cyp7b1","QSVZbyPSVZ"
"67","Neat1","QSVZbyPSVZ"
"68","Shisa9","QSVZbyPSVZ"
"69","Prex1","QSVZbyPSVZ"
"70","Nat8","QSVZbyPSVZ"
"71","Cldn10","QSVZbyPSVZ"
"72","Ptn","QSVZbyPSVZ"
"73","Fjx1","QSVZbyPSVZ"
"74","Kalrn","QSVZbyPSVZ"
"75","Glul","QSVZbyPSVZ"
"76","Penk","QSVZbyPSVZ"
"77","Gpr37l1","QSVZbyPSVZ"
"78","Gaa","QSVZbyPSVZ"
"79","Cd81","QSVZbyPSVZ"
"80","Sept4","QSVZbyPSVZ"
"81","Tmem66","QSVZbyPSVZ"
"82","Mmd2","QSVZbyPSVZ"
"83","Wfs1","QSVZbyPSVZ"
"84","Mertk","QSVZbyPSVZ"
"85","Cyp4f14","QSVZbyPSVZ"
"86","Slc7a10","QSVZbyPSVZ"
"87","Slco1c1","QSVZbyPSVZ"
"88","Clmn","QSVZbyPSVZ"
"89","Itm2c","QSVZbyPSVZ"
"90","Ppap2b","QSVZbyPSVZ"
"91","Gpm6a","QSVZbyPSVZ"
"92","Slc7a2","QSVZbyPSVZ"
"93","Fam163a","QSVZbyPSVZ"
"94","Apoe","QSVZbyPSVZ"
"95","Grn","QSVZbyPSVZ"
"96","Vcl","QSVZbyPSVZ"
"97","Mt1","QSVZbyPSVZ"
"98","Fam20a","QSVZbyPSVZ"
"99","Sema4a","QSVZbyPSVZ"
"100","Gpam","QSVZbyPSVZ"
"101","Slc7a11","QSVZbyPSVZ"
"102","Rgcc","QSVZbyPSVZ"
"103","Tlr3","QSVZbyPSVZ"
"104","Tox2","QSVZbyPSVZ"
"105","Cspg5","QSVZbyPSVZ"
"106","Lgr4","QSVZbyPSVZ"
"107","Slc6a9","QSVZbyPSVZ"
"108","Smim3","QSVZbyPSVZ"
"109","Eva1a","QSVZbyPSVZ"
"110","Ermn","QSVZbyPSVZ"
"111","Tuba4a","QSVZbyPSVZ"
"112","Nat1","QSVZbyPSVZ"
"113","Adamts4","QSVZbyPSVZ"
"114","Tmem176a","QSVZbyPSVZ"
"115","Flrt1","QSVZbyPSVZ"
"116","Aox1","QSVZbyPSVZ"
"117","Cml5","QSVZbyPSVZ"
"118","Sez6l2","QSVZbyPSVZ"
"119","S100b","QSVZbyPSVZ"
"120","Cpeb4","QSVZbyPSVZ"
"121","Usp30","QSVZbyPSVZ"
"122","Paqr7","QSVZbyPSVZ"
"123","Ptplad1","QSVZbyPSVZ"
"124","Ctsb","QSVZbyPSVZ"
"125","Mag","QSVZbyPSVZ"
"126","Eps8","QSVZbyPSVZ"
"127","Astn2","QSVZbyPSVZ"
"128","Slc1a3","QSVZbyPSVZ"
"129","Acsl3","QSVZbyPSVZ"
"130","Ncam1","QSVZbyPSVZ"
"131","Dhrs7","QSVZbyPSVZ"
"132","Sdf2","QSVZbyPSVZ"
"133","Timp3","QSVZbyPSVZ"
"134","Slc27a1","QSVZbyPSVZ"
"135","Serpine2","QSVZbyPSVZ"
"136","Gpr155","QSVZbyPSVZ"
"137","Degs1","QSVZbyPSVZ"
"138","Acsl6","QSVZbyPSVZ"
"139","Sec14l2","QSVZbyPSVZ"
"140","Camk2g","QSVZbyPSVZ"
"141","Sned1","QSVZbyPSVZ"
"142","Paqr4","QSVZbyPSVZ"
"143","Zdhhc9","QSVZbyPSVZ"
"144","Agmo","QSVZbyPSVZ"
"145","Slc12a4","QSVZbyPSVZ"
"146","Car2","QSVZbyPSVZ"
"147","Myrf","QSVZbyPSVZ"
"148","Arsa","QSVZbyPSVZ"
"149","Ilvbl","QSVZbyPSVZ"
"150","Aldh6a1","QSVZbyPSVZ"
"151","Megf10","QSVZbyPSVZ"
"152","Cryab","QSVZbyPSVZ"
"153","Dhrs3","QSVZbyPSVZ"
"154","Fxyd1","QSVZbyPSVZ"
"155","Serinc1","QSVZbyPSVZ"
"156","Trim9","QSVZbyPSVZ"
"157","Mapk8ip3","QSVZbyPSVZ"
"158","Klf9","QSVZbyPSVZ"
"159","Prnp","QSVZbyPSVZ"
"160","Ndrg2","QSVZbyPSVZ"
"161","Fam134b","QSVZbyPSVZ"
"162","F3","QSVZbyPSVZ"
"163","Lgi1","QSVZbyPSVZ"
"164","Papss2","QSVZbyPSVZ"
"165","Ppp2r2b","QSVZbyPSVZ"
"166","Pygb","QSVZbyPSVZ"
"167","Chchd10","QSVZbyPSVZ"
"168","Elovl5","QSVZbyPSVZ"
"169","Hapln1","QSVZbyPSVZ"
"170","Cyp4f15","QSVZbyPSVZ"
"171","Sdc4","QSVZbyPSVZ"
"172","Pdgfrb","QSVZbyPSVZ"
"173","Limch1","QSVZbyPSVZ"
"174","Cyr61","QSVZbyPSVZ"
"175","Pitpnc1","QSVZbyPSVZ"
"176","Gnb5","QSVZbyPSVZ"
"177","Slc25a44","QSVZbyPSVZ"
"178","Scn4b","QSVZbyPSVZ"
"179","Cystm1","QSVZbyPSVZ"
"180","Hsd17b11","QSVZbyPSVZ"
"181","Rdh10","QSVZbyPSVZ"
"182","Ppp1r3g","QSVZbyPSVZ"
"183","Rasgrp1","QSVZbyPSVZ"
"184","Tpp1","QSVZbyPSVZ"
"185","2010001A14Rik","QSVZbyPSVZ"
"186","Dlc1","QSVZbyPSVZ"
"187","Gm11627","QSVZbyPSVZ"
"188","Pfkp","QSVZbyPSVZ"
"189","Ddhd1","QSVZbyPSVZ"
"190","Tmem47","QSVZbyPSVZ"
"191","Atp8a1","QSVZbyPSVZ"
"192","Zfp775","QSVZbyPSVZ"
"193","Fbxo2","QSVZbyPSVZ"
"194","Mal","QSVZbyPSVZ"
"195","Adora2b","QSVZbyPSVZ"
"196","Abhd14b","QSVZbyPSVZ"
"197","Ntm","QSVZbyPSVZ"
"198","1190005I06Rik","QSVZbyPSVZ"
"199","Jup","QSVZbyPSVZ"
"200","Epb4.1l3","QSVZbyPSVZ"
"201","Ifit3","QSVZbyPSVZ"
"202","Nkiras1","QSVZbyPSVZ"
"203","Scd1","QSVZbyPSVZ"
"204","Slc9a9","QSVZbyPSVZ"
"205","Gpc5","QSVZbyPSVZ"
"206","Dio2","QSVZbyPSVZ"
"207","Arxes1","QSVZbyPSVZ"
"208","Daam2","QSVZbyPSVZ"
"209","Tmem189","QSVZbyPSVZ"
"210","Lypd6","QSVZbyPSVZ"
"211","Pltp","QSVZbyPSVZ"
"212","Rgma","QSVZbyPSVZ"
"213","Gstm1","QSVZbyPSVZ"
"214","Cnp","QSVZbyPSVZ"
"215","Nrcam","QSVZbyPSVZ"
"216","Mgat4a","QSVZbyPSVZ"
"217","Slc33a1","QSVZbyPSVZ"
"218","Tspan15","QSVZbyPSVZ"
"219","Micall2","QSVZbyPSVZ"
"220","Enho","QSVZbyPSVZ"
"221","Gramd3","QSVZbyPSVZ"
"222","Chst11","QSVZbyPSVZ"
"223","Grina","QSVZbyPSVZ"
"224","Ndrg1","QSVZbyPSVZ"
"225","Robo1","QSVZbyPSVZ"
"226","Scrg1","QSVZbyPSVZ"
"227","Fkbp10","QSVZbyPSVZ"
"228","Mbnl2","QSVZbyPSVZ"
"229","Msmo1","QSVZbyPSVZ"
"230","Caskin2","QSVZbyPSVZ"
"231","Cml1","QSVZbyPSVZ"
"232","Gjb6","QSVZbyPSVZ"
"233","Abcg1","QSVZbyPSVZ"
"234","Ednrb","QSVZbyPSVZ"
"235","S100a1","QSVZbyPSVZ"
"236","Slc9a3r1","QSVZbyPSVZ"
"237","Cd302","QSVZbyPSVZ"
"238","Tmem63a","QSVZbyPSVZ"
"239","Cth","QSVZbyPSVZ"
"240","Atg9a","QSVZbyPSVZ"
"241","Syne1","QSVZbyPSVZ"
"242","Mog","QSVZbyPSVZ"
"243","Fam171a1","QSVZbyPSVZ"
"244","Mbp","QSVZbyPSVZ"
"245","Asah1","QSVZbyPSVZ"
"246","Cd38","QSVZbyPSVZ"
"247","Dner","QSVZbyPSVZ"
"248","Rpe65","QSVZbyPSVZ"
"249","3830612M24","QSVZbyPSVZ"
"250","I54","QSVZbyPSVZ"
"251","Mapk10","QSVZbyPSVZ"
"252","0610031J06Rik","QSVZbyPSVZ"
"253","Wls","QSVZbyPSVZ"
"254","Lxn","QSVZbyPSVZ"
"255","Pcdhb19","QSVZbyPSVZ"
"256","Stk38l","QSVZbyPSVZ"
"257","Cadm1","QSVZbyPSVZ"
