"","Var1","Freq"
"1","HuAgeGBsplit_00",18
"2","HuAgeGBsplit_01",7969
"3","HuAgeGBsplit_02",7732
"4","HuAgeGBsplit_03",1234
"5","HuAgeGBsplit_04",938
"6","HuAgeGBsplit_05",809
"7","HuAgeGBsplit_06",727
"8","HuAgeGBsplit_07",724
"9","HuAgeGBsplit_08",673
"10","HuAgeGBsplit_09",643
"11","HuAgeGBsplit_10",629
"12","HuAgeGBsplit_11",581
"13","HuAgeGBsplit_12",496
"14","HuAgeGBsplit_13",493
"15","HuAgeGBsplit_14",492
"16","HuAgeGBsplit_15",488
"17","HuAgeGBsplit_16",487
"18","HuAgeGBsplit_17",421
"19","HuAgeGBsplit_18",394
"20","HuAgeGBsplit_19",394
"21","HuAgeGBsplit_20",381
"22","HuAgeGBsplit_21",365
"23","HuAgeGBsplit_22",345
"24","HuAgeGBsplit_23",321
"25","HuAgeGBsplit_24",312
"26","HuAgeGBsplit_25",305
"27","HuAgeGBsplit_26",303
"28","HuAgeGBsplit_27",249
"29","HuAgeGBsplit_28",246
"30","HuAgeGBsplit_29",242
"31","HuAgeGBsplit_30",234
"32","HuAgeGBsplit_31",219
"33","HuAgeGBsplit_32",204
"34","HuAgeGBsplit_33",199
"35","HuAgeGBsplit_34",181
"36","HuAgeGBsplit_35",161
"37","HuAgeGBsplit_36",121
"38","HuAgeGBsplit_37",121
"39","HuAgeGBsplit_38",113
