"","HuAgeGBsplit_00","HuAgeGBsplit_01","HuAgeGBsplit_02","HuAgeGBsplit_03","HuAgeGBsplit_04","HuAgeGBsplit_05","HuAgeGBsplit_06","HuAgeGBsplit_07","HuAgeGBsplit_08","HuAgeGBsplit_09","HuAgeGBsplit_10","HuAgeGBsplit_11","HuAgeGBsplit_12","HuAgeGBsplit_13","HuAgeGBsplit_14","HuAgeGBsplit_15","HuAgeGBsplit_16","HuAgeGBsplit_17","HuAgeGBsplit_18","HuAgeGBsplit_19","HuAgeGBsplit_20","HuAgeGBsplit_21","HuAgeGBsplit_22","HuAgeGBsplit_23","HuAgeGBsplit_24","HuAgeGBsplit_25","HuAgeGBsplit_26","HuAgeGBsplit_27","HuAgeGBsplit_28","HuAgeGBsplit_29","HuAgeGBsplit_30","HuAgeGBsplit_31","HuAgeGBsplit_32","HuAgeGBsplit_33","HuAgeGBsplit_34","HuAgeGBsplit_35","HuAgeGBsplit_36","HuAgeGBsplit_37","HuAgeGBsplit_38"
"1","LINC00221","AC091939.1","LINC00351","OR5AN1","WFDC5","AC019211.1","GAPVD1","GGA1","GABRA6","AC084048.1","PHAX","LINC01738","EXOC5","EPSTI1","LINCMD1","MMS19","AC068722.1","UFM1","COPB1","RALGAPB","KIAA2012","AC092639.1","AC087379.2","AL078624.2","LRRC74A","PAGE1","MRPS21P1","AL133232.1","AC092447.8","KCNJ15","BUB1","AC069152.1","TRMT2B-AS1","AC026371.1","AC107016.2","LRRC77P","MAGEB1","C5orf17","MT-TL2"
"2","COL17A1","LINC01641","LINC00393","TDRD15","BPIFA1","AC067956.1","ZBTB43","ANKRD54","CCDC155","AC005772.1","RPL26L1","AP000439.2","DCAF5","RSAD2","AL049836.2","ACTR1A","LINC02408","MICU2","RIC8A","CSNK2A1","ROPN1L","RNU6-1097P","AC013565.3","SAMD3","AL391095.2","USP26","RNU2-36P","DGUOK-AS1","AL356272.1","CEACAM3","NCAPH","AC099654.1","AP001970.1","AC073913.1","AC078776.2","HTR2C","ZNF735","MTCO2P23","MT-TI"
"3","IGHVIII-47-1","MIR4422HG","LINC00301","CRISP2","NEU2","CXXC4-AS1","RABGAP1","MCAT","LINC01179","HNRNPCL1","CSNK1A1","RNA5SP482","PPP2R5E","STAT1","MYL1","CUEDC2","TECRL","WBP4","PTDSS2","PSMF1","RSPH10B","RPS29P9","AP000781.1","LINC02346","TEX41","MARCOL","AC016727.2","AC243972.2","LINC00624","ADGRG3","TPX2","RN7SL266P","AL354702.2","CSN1S1","IGHVII-74-1","AL020994.2","AC244452.3","AC004160.1","MT-TK"
"4","SLC16A12","AC091114.1","NALCN-AS1","OR6C6","PGLYRP4","LINC00970","TOR1A","MIEF1","AC005064.1","AL139390.1","AFF4","FGF19","AREL1","IFIH1","TRIM51","SLF2","BPIFC","PAN3","RNH1","IDH3B","TTC29","MTCYBP8","AL451065.1","AL591424.3","AC012081.1","AC026785.3","RNA5SP367","AL035541.1","LINC01518","ADGRE3","NCAPG","ZNF479","AC243967.2","LINC02375","DNAJB5P1","LINC02137","LINC02184","AP006295.1","MT-TS2"
"5","AC016590.1","LINC02201","LINC02532","TMPRSS11B","C20orf173","LINGO2","USP20","PPP6R2","AC025284.1","HSPA8P13","SMAD5","AC073987.1","FCF1","HERC6","MYL10","MCMBP","BANK1","N4BP2L2","PDHX","MKKS","LINC01513","RPPH1-2P","AL603756.1","SMIM36","CYP2A13","ADGRG4","RNU6-1180P","AL358232.1","LINC00308","MIR3945HG","KIFC1","MTCO3P4","LINC01641","RNU1-104P","AC116353.3","ANO3","LINC01667","AC113347.4","MT-TQ"
"6","AC091953.3","AC092650.1","AL591518.1","CSN3","LCE3C","CNTN4","RAB14","ATXN10","AC007614.1","ZSWIM2","ZNF346","SLC9A4","PCNX4","CMPK2","OR9M1P","SUFU","LINC02133","COG3","BET1L","NSFL1C","IQANK1","RNY4P28","AC073934.1","AL591424.1","OVOL2","AL121956.1","RNU5E-5P","GFRA3","AC073488.10","TREML2","KIF23","RNA5SP121","AC091939.1","ANO2","RNU6-1134P","SLC5A7","DUX4L35","RNU6-284P","MT-TV"
"7","AC245047.8","AC023669.2","LINC02267","OR6C1","TFF2","LINC01680","PPP6C","HPS4","ZP2","AC092098.1","CDC23","LINC02106","AP5M1","ISG15","MYMK","CHUK","AC104041.1","RNF6","TSSC4","DDX27","DNAH12","RNU6-996P","AL121987.1","CRYM-AS1","PLA2G4D","FGFBP1","CLDN4","AL049870.3","AC073488.9","HAL","HJURP","HMGB1P48","AC093534.2","AC019209.1","AP000345.1","LINC01621","MAGEC1","MTND1P20","MT-TT"
"8","AC140172.1","LINC01307","AC096577.1","OR4F13P","LGALS16","AL445433.2","GPR107","BRD1","CRTAM","CLNK","LARP1","HORMAD2","ALKBH1","DDX58","TNNI1","SHOC2","LINC01916","GTF2F2","SBF2","PTPRA","PPP1R42","AC009902.1","CABP5","AC079098.1","CACNG3","OR2J3","AC006158.1","AC010649.1","AC073488.3","RHOH","CENPF","RNU7-155P","MIR4422HG","AL513043.1","AC024681.2","LINC02304","MROH2A","LINC01685","MT-TL1"
"9","FENDRR","LINC01643","LINC02402","OR5T2","PGLYRP3","ASIC2","MRPL50","L3MBTL2","TMEM266","PRSS38","CAMLG","GCGR","SLC39A9","MX1","LINC02152","TNKS2","LINC02291","SPART","PHRF1","MANBAL","DNAI2","MTND3P19","AL691403.1","GYG2P1","NR5A1","MROH2B","BX510359.4","RNU6-804P","AC073488.5","IL18RAP","NUSAP1","AC005094.1","AC063980.1","BANCR","RN7SKP229","AC079097.1","CSF2RBP1","AC063952.1","MT-TW"
"10","CCT6A","AL157714.2","AC004704.1","AMTN","ALDH3B2","KHDRBS2","TEX10","ZC3H7B","AKAIN1","LGALS9C","BRD8","POFUT1","GPATCH2L","PARP14","CHRND","WBP1L","AC140118.1","DIS3","SBF2-AS1","DHX35","CCDC33","AL591704.1","AC021151.1","AC092546.1","PADI1","PSG4","CHCHD2P4","DPYS","AC073488.11","CD177","BIRC5","AC099654.6","CCL15-CCL14","USP44","PMIS2","KCNJ1","MAGEB2","AP002759.1","MT-TD"
