"","black","blue","brown","cyan","darkgreen","darkgrey","darkmagenta","darkolivegreen","darkorange","darkred","darkturquoise","green","greenyellow","grey","grey60","lightcyan","lightgreen","lightyellow","magenta","midnightblue","orange","paleturquoise","pink","plum1","purple","red","royalblue","saddlebrown","salmon","sienna3","skyblue","skyblue3","steelblue","tan","turquoise","violet","white","yellow","yellowgreen"
"1","MCAT","LINC02402","OR6C6","TNNI1","AC021151.1","AL391095.2","RNU6-1134P","LINC02375","MRPS21P1","RNY4P28","GYG2P1","KHDRBS2","LINC02106","AC016590.1","SPART","AC140118.1","BET1L","PTPRA","AC092098.1","SLF2","FGFBP1","AC099654.6","CRTAM","MT-TS2","CAMLG","MRPL50","DNAI2","ADGRG3","ISG15","LINC01621","AC073488.9","RNU6-284P","BIRC5","SLC39A9","MIR4422HG","AC093534.2","AC243972.2","LCE3C","MAGEC1"
"2","ANKRD54","LINC02532","OR5T2","LINCMD1","CABP5","LRRC74A","RN7SKP229","CSN1S1","CLDN4","RNU6-1097P","AL591424.3","LINGO2","POFUT1","COL17A1","UFM1","BPIFC","RIC8A","IDH3B","HNRNPCL1","MMS19","PAGE1","RNU7-155P","AC007614.1","MT-TI","RPL26L1","RAB14","ROPN1L","CEACAM3","RSAD2","AL020994.2","AC073488.3","MTCO2P23","KIFC1","FCF1","LINC01307","AP001970.1","GFRA3","NEU2","AC244452.3"
"3","ZC3H7B","AL591518.1","TDRD15","MYL1","AL451065.1","CYP2A13","IGHVII-74-1","USP44","RNU2-36P","RPPH1-2P","AL591424.1","AC019211.1","FGF19","FENDRR","WBP4","LINC02408","TSSC4","MKKS","ZSWIM2","WBP1L","PSG4","AC005094.1","GABRA6","MT-TV","SMAD5","TOR1A","LINC01513","RHOH","MX1","LINC02137","AC073488.5","MTND1P20","CENPF","AREL1","AL157714.2","MIR4422HG","AL133232.1","LGALS16","MAGEB2"
"4","HPS4","NALCN-AS1","OR4F13P","MYMK","AP000781.1","CACNG3","AC107016.2","BANCR","RNA5SP367","AC009902.1","AL078624.2","AC067956.1","GCGR","CCT6A","DIS3","AC068722.1","RNH1","NSFL1C","HSPA8P13","CUEDC2","MARCOL","MTCO3P4","AC025284.1","MT-TQ","BRD8","TEX10","IQANK1","TREML2","CMPK2","ANO3","AC073488.11","AC063952.1","HJURP","EXOC5","LINC01641","AC063980.1","AC010649.1","WFDC5","CSF2RBP1"
"5","L3MBTL2","LINC00351","CSN3","CHRND","AL121987.1","NR5A1","AC116353.3","RNU1-104P","AC016727.2","RNU6-996P","CRYM-AS1","LINC01680","LINC01738","AC091953.3","MICU2","LINC02291","PTDSS2","DDX27","AL139390.1","TNKS2","OR2J3","AC069152.1","ZP2","MT-TT","CSNK1A1","ZBTB43","KIAA2012","MIR3945HG","STAT1","HTR2C","AC092447.8","C5orf17","NUSAP1","AP5M1","AC091114.1","AC243967.2","DGUOK-AS1","BPIFA1","DUX4L35"
"6","GGA1","LINC00301","OR5AN1","LINC02152","AC013565.3","PLA2G4D","AC024681.2","AC019209.1","RNU6-1180P","RPS29P9","SAMD3","CNTN4","RNA5SP482","AC245047.8","N4BP2L2","TECRL","COPB1","CSNK2A1","LGALS9C","ACTR1A","AC026785.3","RNA5SP121","CCDC155","MT-TL2","CDC23","GPR107","CCDC33","CD177","HERC6","SLC5A7","AC073488.10","AP006295.1","TPX2","PCNX4","AC023669.2","LINC01641","RNU6-804P","C20orf173","LINC01667"
"7","MIEF1","LINC00393","OR6C1","AL049836.2","AL603756.1","OVOL2","DNAJB5P1","ANO2","CHCHD2P4","MTND3P19","LINC02346","ASIC2","SLC9A4","IGHVIII-47-1","RNF6","LINC02133","PHRF1","PSMF1","AC084048.1","SHOC2","AL121956.1","ZNF479","TMEM266","MT-TL1","PHAX","RABGAP1","PPP1R42","IL18RAP","PARP14","LRRC77P","LINC00308","AP002759.1","NCAPG","DCAF5","LINC02201","TRMT2B-AS1","AL035541.1","TFF2","LINC02184"
"8","BRD1","AC096577.1","TMPRSS11B","TRIM51","AC073934.1","PADI1","AC078776.2","AL513043.1","RNU5E-5P","AL591704.1","AC079098.1","AL445433.2","AC073987.1","LINC00221","GTF2F2","BANK1","PDHX","MANBAL","PRSS38","MCMBP","USP26","RN7SL266P","AKAIN1","MT-TK","AFF4","USP20","DNAH12","ADGRE3","DDX58","KCNJ1","AL356272.1","AC004160.1","KIF23","ALKBH1","LINC01643","AL354702.2","DPYS","PGLYRP3","MAGEB1"
"9","PPP6R2","AC004704.1","CRISP2","MYL10","AL691403.1","AC012081.1","PMIS2","AC073913.1","BX510359.4","AC092639.1","SMIM36","LINC00970","AP000439.2","AC140172.1","COG3","LINC01916","SBF2-AS1","RALGAPB","AC005772.1","CHUK","ADGRG4","AC099654.1","AC005064.1","MT-TW","LARP1","PPP6C","RSPH10B","KCNJ15","IFIH1","LINC02304","LINC01518","LINC01685","BUB1","GPATCH2L","AC092650.1","CCL15-CCL14","AL358232.1","PGLYRP4","ZNF735"
"10","ATXN10","LINC02267","AMTN","OR9M1P","AC087379.2","TEX41","AP000345.1","AC026371.1","AC006158.1","MTCYBP8","AC092546.1","CXXC4-AS1","HORMAD2","SLC16A12","PAN3","AC104041.1","SBF2","DHX35","CLNK","SUFU","MROH2B","HMGB1P48","LINC01179","MT-TD","ZNF346","GAPVD1","TTC29","HAL","EPSTI1","AC079097.1","LINC00624","AC113347.4","NCAPH","PPP2R5E","AC091939.1","AC091939.1","AL049870.3","ALDH3B2","MROH2A"
