"","PSID","Gene","Module"
"RPL10P9","RPL10P9","RPL10P9","turquoise"
"FP236383.3","FP236383.3","FP236383.3","black"
"HLA-DRB5","HLA-DRB5","HLA-DRB5","yellow"
"AC073539.7","AC073539.7","AC073539.7","blue"
"RPL13P12","RPL13P12","RPL13P12","turquoise"
"H19","H19","H19","lightgreen"
"AC097493.4","AC097493.4","AC097493.4","darkgrey"
"RNU4-2","RNU4-2","RNU4-2","turquoise"
"RNU6-8","RNU6-8","RNU6-8","blue"
"LINC01602","LINC01602","LINC01602","grey60"
"FP236383.1","FP236383.1","FP236383.1","turquoise"
"HBA2","HBA2","HBA2","turquoise"
"HLA-DQB1","HLA-DQB1","HLA-DQB1","yellow"
"HBB","HBB","HBB","turquoise"
"IGKJ1","IGKJ1","IGKJ1","blue"
"HBA1","HBA1","HBA1","turquoise"
"MT-TF","MT-TF","MT-TF","turquoise"
"PCDHB2","PCDHB2","PCDHB2","blue"
"CCL4L2","CCL4L2","CCL4L2","pink"
"VGF","VGF","VGF","turquoise"
"RNA5SP243","RNA5SP243","RNA5SP243","turquoise"
"TRH","TRH","TRH","blue"
"MIR4787","MIR4787","MIR4787","blue"
"FP671120.1","FP671120.1","FP671120.1","turquoise"
"TRBJ2-3","TRBJ2-3","TRBJ2-3","salmon"
"RNA5SP18","RNA5SP18","RNA5SP18","blue"
"NPTX2","NPTX2","NPTX2","purple"
"PLA2G2A","PLA2G2A","PLA2G2A","magenta"
"RNU4-1","RNU4-1","RNU4-1","turquoise"
"CHI3L1","CHI3L1","CHI3L1","blue"
"AC093909.6","AC093909.6","AC093909.6","turquoise"
"MIR320D1","MIR320D1","MIR320D1","blue"
"TRGJP2","TRGJP2","TRGJP2","blue"
"LTF","LTF","LTF","turquoise"
"AC233266.2","AC233266.2","AC233266.2","blue"
"POU3F4","POU3F4","POU3F4","turquoise"
"LINC00689","LINC00689","LINC00689","blue"
"SFRP2","SFRP2","SFRP2","turquoise"
"RN7SL3","RN7SL3","RN7SL3","black"
"RNF5P1","RNF5P1","RNF5P1","blue"
"AC134684.3","AC134684.3","AC134684.3","blue"
"MIR4530","MIR4530","MIR4530","midnightblue"
"TRBJ2-2P","TRBJ2-2P","TRBJ2-2P","salmon"
"MIR4645","MIR4645","MIR4645","blue"
"CNN2P8","CNN2P8","CNN2P8","darkolivegreen"
"MIR27A","MIR27A","MIR27A","turquoise"
"NEFL","NEFL","NEFL","turquoise"
"LDHAP4","LDHAP4","LDHAP4","purple"
"RPL7AP28","RPL7AP28","RPL7AP28","cyan"
"MICF","MICF","MICF","turquoise"
"MIR3149","MIR3149","MIR3149","turquoise"
"SNORD3A","SNORD3A","SNORD3A","blue"
"IGF2","IGF2","IGF2","turquoise"
"CCL3L1","CCL3L1","CCL3L1","pink"
"MIR4678","MIR4678","MIR4678","blue"
"AL731566.2","AL731566.2","AL731566.2","magenta"
"TRBD1","TRBD1","TRBD1","turquoise"
"AL355480.1","AL355480.1","AL355480.1","blue"
"AC008060.4","AC008060.4","AC008060.4","white"
"KCNE5","KCNE5","KCNE5","turquoise"
"AC139426.1","AC139426.1","AC139426.1","blue"
"MIR4666A","MIR4666A","MIR4666A","red"
"TRBJ2-7","TRBJ2-7","TRBJ2-7","turquoise"
"CCL19","CCL19","CCL19","turquoise"
"AC116614.1","AC116614.1","AC116614.1","black"
"CCL4","CCL4","CCL4","pink"
"IGFBP3","IGFBP3","IGFBP3","salmon"
"MIR24-2","MIR24-2","MIR24-2","blue"
"COL20A1","COL20A1","COL20A1","pink"
"MAGEE2","MAGEE2","MAGEE2","blue"
"RNY3P16","RNY3P16","RNY3P16","steelblue"
"MT-TN","MT-TN","MT-TN","turquoise"
"AL355309.1","AL355309.1","AL355309.1","turquoise"
"SLC17A7","SLC17A7","SLC17A7","turquoise"
"GSX1","GSX1","GSX1","red"
"IGLC2","IGLC2","IGLC2","turquoise"
"MIR23A","MIR23A","MIR23A","turquoise"
"ZNF300P1","ZNF300P1","ZNF300P1","turquoise"
"AZGP1","AZGP1","AZGP1","blue"
"RNU6-892P","RNU6-892P","RNU6-892P","turquoise"
"DLX1","DLX1","DLX1","darkgrey"
"AC006466.1","AC006466.1","AC006466.1","red"
"HOXA2","HOXA2","HOXA2","blue"
"HOXD13","HOXD13","HOXD13","blue"
"SOX3","SOX3","SOX3","blue"
"MIR331","MIR331","MIR331","turquoise"
"MMP9","MMP9","MMP9","turquoise"
"AC138207.3","AC138207.3","AC138207.3","blue"
"RNU6-2","RNU6-2","RNU6-2","turquoise"
"S100A8","S100A8","S100A8","turquoise"
"POSTN","POSTN","POSTN","blue"
"GJB2","GJB2","GJB2","blue"
"HES5","HES5","HES5","blue"
"AQP1","AQP1","AQP1","blue"
"FIBIN","FIBIN","FIBIN","blue"
"RMRP","RMRP","RMRP","turquoise"
"AC245452.2","AC245452.2","AC245452.2","turquoise"
"GPX3","GPX3","GPX3","turquoise"
"ZNF603P","ZNF603P","ZNF603P","turquoise"
"RNU5B-2P","RNU5B-2P","RNU5B-2P","blue"
"IGHD7-27","IGHD7-27","IGHD7-27","turquoise"
"INSM1","INSM1","INSM1","blue"
"RNU7-160P","RNU7-160P","RNU7-160P","blue"
"RPS29P6","RPS29P6","RPS29P6","blue"
"RNU6-322P","RNU6-322P","RNU6-322P","turquoise"
"SNORD3B-1","SNORD3B-1","SNORD3B-1","blue"
"MIR5695","MIR5695","MIR5695","turquoise"
"RNA5SP508","RNA5SP508","RNA5SP508","black"
"SLN","SLN","SLN","turquoise"
"ARC","ARC","ARC","pink"
"RNY1","RNY1","RNY1","blue"
"HLA-DQA1","HLA-DQA1","HLA-DQA1","yellow"
"TUBB2BP1","TUBB2BP1","TUBB2BP1","blue"
"TRBJ2-1","TRBJ2-1","TRBJ2-1","blue"
"RNY3P8","RNY3P8","RNY3P8","blue"
"C5orf38","C5orf38","C5orf38","turquoise"
"AL355480.3","AL355480.3","AL355480.3","turquoise"
"PSPHP1","PSPHP1","PSPHP1","black"
"DLX5","DLX5","DLX5","darkgrey"
"AL355974.1","AL355974.1","AL355974.1","lightcyan"
"MIR4482","MIR4482","MIR4482","midnightblue"
"RNU6-1011P","RNU6-1011P","RNU6-1011P","blue"
"AEBP1","AEBP1","AEBP1","turquoise"
"RNU6-415P","RNU6-415P","RNU6-415P","turquoise"
"AC006058.4","AC006058.4","AC006058.4","blue"
"RNU6-722P","RNU6-722P","RNU6-722P","turquoise"
"MIR563","MIR563","MIR563","blue"
"BX284632.1","BX284632.1","BX284632.1","blue"
"C1QL4","C1QL4","C1QL4","turquoise"
"TRBJ2-6","TRBJ2-6","TRBJ2-6","darkgrey"
"AC006058.1","AC006058.1","AC006058.1","blue"
"DLX2","DLX2","DLX2","darkgrey"
"AMH","AMH","AMH","blue"
"RNU6-945P","RNU6-945P","RNU6-945P","turquoise"
"HLA-H","HLA-H","HLA-H","blue"
"SLPI","SLPI","SLPI","red"
"AC009902.3","AC009902.3","AC009902.3","midnightblue"
"SST","SST","SST","blue"
"VN1R85P","VN1R85P","VN1R85P","blue"
"AL023803.1","AL023803.1","AL023803.1","lightyellow"
"RNU4-39P","RNU4-39P","RNU4-39P","blue"
"AC011904.1","AC011904.1","AC011904.1","blue"
"XIST","XIST","XIST","blue"
