"","HuAgeGBsplit_00","HuAgeGBsplit_01","HuAgeGBsplit_02","HuAgeGBsplit_03","HuAgeGBsplit_04","HuAgeGBsplit_05","HuAgeGBsplit_06","HuAgeGBsplit_07","HuAgeGBsplit_08","HuAgeGBsplit_09","HuAgeGBsplit_10","HuAgeGBsplit_11","HuAgeGBsplit_12","HuAgeGBsplit_13","HuAgeGBsplit_14","HuAgeGBsplit_15","HuAgeGBsplit_16","HuAgeGBsplit_17","HuAgeGBsplit_18","HuAgeGBsplit_19","HuAgeGBsplit_20","HuAgeGBsplit_21","HuAgeGBsplit_22","HuAgeGBsplit_23","HuAgeGBsplit_24","HuAgeGBsplit_25","HuAgeGBsplit_26","HuAgeGBsplit_27","HuAgeGBsplit_28","HuAgeGBsplit_29","HuAgeGBsplit_30","HuAgeGBsplit_31","HuAgeGBsplit_32","HuAgeGBsplit_33","HuAgeGBsplit_34","HuAgeGBsplit_35","HuAgeGBsplit_36","HuAgeGBsplit_37","HuAgeGBsplit_38"
"1","AC016590.1","MIR4422HG","LINC02402","OR6C6","LCE3C","KHDRBS2","MRPL50","MCAT","CRTAM","AC092098.1","CAMLG","LINC02106","SLC39A9","ISG15","TNNI1","SLF2","AC140118.1","SPART","BET1L","PTPRA","DNAI2","RNY4P28","AC021151.1","GYG2P1","AL391095.2","FGFBP1","MRPS21P1","AC243972.2","AC073488.9","ADGRG3","BIRC5","AC099654.6","AC093534.2","LINC02375","RNU6-1134P","LINC01621","MAGEC1","RNU6-284P","MT-TS2"
"2","COL17A1","LINC01307","LINC02532","OR5T2","NEU2","LINGO2","RAB14","ANKRD54","AC007614.1","HNRNPCL1","RPL26L1","POFUT1","FCF1","RSAD2","LINCMD1","MMS19","BPIFC","UFM1","RIC8A","IDH3B","ROPN1L","RNU6-1097P","CABP5","AL591424.3","LRRC74A","PAGE1","CLDN4","GFRA3","AC073488.3","CEACAM3","KIFC1","RNU7-155P","AP001970.1","CSN1S1","RN7SKP229","AL020994.2","AC244452.3","MTCO2P23","MT-TI"
"3","FENDRR","AL157714.2","AL591518.1","TDRD15","LGALS16","AC019211.1","TOR1A","ZC3H7B","GABRA6","ZSWIM2","SMAD5","FGF19","AREL1","MX1","MYL1","WBP1L","LINC02408","WBP4","TSSC4","MKKS","LINC01513","RPPH1-2P","AL451065.1","AL591424.1","CYP2A13","PSG4","RNU2-36P","AL133232.1","AC073488.5","RHOH","CENPF","AC005094.1","MIR4422HG","USP44","IGHVII-74-1","LINC02137","MAGEB2","MTND1P20","MT-TV"
"4","CCT6A","LINC01641","NALCN-AS1","OR4F13P","WFDC5","AC067956.1","TEX10","HPS4","AC025284.1","HSPA8P13","BRD8","GCGR","EXOC5","CMPK2","MYMK","CUEDC2","AC068722.1","DIS3","RNH1","NSFL1C","IQANK1","AC009902.1","AP000781.1","AL078624.2","CACNG3","MARCOL","RNA5SP367","AC010649.1","AC073488.11","TREML2","HJURP","MTCO3P4","AC063980.1","BANCR","AC107016.2","ANO3","CSF2RBP1","AC063952.1","MT-TQ"
"5","AC091953.3","AC091114.1","LINC00351","CSN3","BPIFA1","LINC01680","ZBTB43","L3MBTL2","ZP2","AL139390.1","CSNK1A1","LINC01738","AP5M1","STAT1","CHRND","TNKS2","LINC02291","MICU2","PTDSS2","DDX27","KIAA2012","RNU6-996P","AL121987.1","CRYM-AS1","NR5A1","OR2J3","AC016727.2","DGUOK-AS1","AC092447.8","MIR3945HG","NUSAP1","AC069152.1","AC243967.2","RNU1-104P","AC116353.3","HTR2C","DUX4L35","C5orf17","MT-TT"
"6","AC245047.8","AC023669.2","LINC00301","OR5AN1","C20orf173","CNTN4","GPR107","GGA1","CCDC155","LGALS9C","CDC23","RNA5SP482","PCNX4","HERC6","LINC02152","ACTR1A","TECRL","N4BP2L2","COPB1","CSNK2A1","CCDC33","RPS29P9","AC013565.3","SAMD3","PLA2G4D","AC026785.3","RNU6-1180P","RNU6-804P","AC073488.10","CD177","TPX2","RNA5SP121","LINC01641","AC019209.1","AC024681.2","SLC5A7","LINC01667","AP006295.1","MT-TL2"
"7","IGHVIII-47-1","LINC02201","LINC00393","OR6C1","TFF2","ASIC2","RABGAP1","MIEF1","TMEM266","AC084048.1","PHAX","SLC9A4","DCAF5","PARP14","AL049836.2","SHOC2","LINC02133","RNF6","PHRF1","PSMF1","PPP1R42","MTND3P19","AL603756.1","LINC02346","OVOL2","AL121956.1","CHCHD2P4","AL035541.1","LINC00308","IL18RAP","NCAPG","ZNF479","TRMT2B-AS1","ANO2","DNAJB5P1","LRRC77P","LINC02184","AP002759.1","MT-TL1"
"8","LINC00221","LINC01643","AC096577.1","TMPRSS11B","PGLYRP3","AL445433.2","USP20","BRD1","AKAIN1","PRSS38","AFF4","AC073987.1","ALKBH1","DDX58","TRIM51","MCMBP","BANK1","GTF2F2","PDHX","MANBAL","DNAH12","AL591704.1","AC073934.1","AC079098.1","PADI1","USP26","RNU5E-5P","DPYS","AL356272.1","ADGRE3","KIF23","RN7SL266P","AL354702.2","AL513043.1","AC078776.2","KCNJ1","MAGEB1","AC004160.1","MT-TK"
"9","AC140172.1","AC092650.1","AC004704.1","CRISP2","PGLYRP4","LINC00970","PPP6C","PPP6R2","AC005064.1","AC005772.1","LARP1","AP000439.2","GPATCH2L","IFIH1","MYL10","CHUK","LINC01916","COG3","SBF2-AS1","RALGAPB","RSPH10B","AC092639.1","AL691403.1","SMIM36","AC012081.1","ADGRG4","BX510359.4","AL358232.1","LINC01518","KCNJ15","BUB1","AC099654.1","CCL15-CCL14","AC073913.1","PMIS2","LINC02304","ZNF735","LINC01685","MT-TW"
"10","SLC16A12","AC091939.1","LINC02267","AMTN","ALDH3B2","CXXC4-AS1","GAPVD1","ATXN10","LINC01179","CLNK","ZNF346","HORMAD2","PPP2R5E","EPSTI1","OR9M1P","SUFU","AC104041.1","PAN3","SBF2","DHX35","TTC29","MTCYBP8","AC087379.2","AC092546.1","TEX41","MROH2B","AC006158.1","AL049870.3","LINC00624","HAL","NCAPH","HMGB1P48","AC091939.1","AC026371.1","AP000345.1","AC079097.1","MROH2A","AC113347.4","MT-TD"
