"","HuAgeGBsplit_02....QGBCbyPGBC__"
"1","AATBC"
"2","ABCA2"
"3","ABCB4"
"4","ABCC5"
"5","ABCG1"
"6","ABHD1"
"7","AC002310.5"
"8","AC003002.2"
"9","AC004080.2"
"10","AC004221.1"
"11","AC004264.2"
"12","AC004453.2"
"13","AC004477.1"
"14","AC004528.1"
"15","AC004817.4"
"16","AC004840.2"
"17","AC005329.1"
"18","AC005363.2"
"19","AC005393.1"
"20","AC005479.1"
"21","AC005498.3"
"22","AC005776.1"
"23","AC005920.1"
"24","AC006213.2"
"25","AC006238.1"
"26","AC006252.1"
"27","AC006277.1"
"28","AC006557.6"
"29","AC007224.2"
"30","AC007383.2"
"31","AC007391.1"
"32","AC007638.1"
"33","AC007663.3"
"34","AC007688.1"
"35","AC007786.1"
"36","AC007786.2"
"37","AC007842.1"
"38","AC008105.2"
"39","AC008115.4"
"40","AC008124.1"
"41","AC008267.1"
"42","AC008403.3"
"43","AC008438.2"
"44","AC008537.1"
"45","AC008752.2"
"46","AC008806.1"
"47","AC008969.1"
"48","AC009052.1"
"49","AC009053.1"
"50","AC009108.1"
"51","AC009148.1"
"52","AC009159.2"
"53","AC009163.6"
"54","AC009404.1"
"55","AC009955.2"
"56","AC010201.1"
"57","AC010201.2"
"58","AC010205.1"
"59","AC010327.4"
"60","AC010327.5"
"61","AC010335.1"
"62","AC010422.2"
"63","AC010491.1"
"64","AC010551.3"
"65","AC010618.3"
"66","AC010654.1"
"67","AC010719.1"
"68","AC010883.1"
"69","AC010931.3"
"70","AC010970.1"
"71","AC010997.4"
"72","AC011474.2"
"73","AC011481.1"
"74","AC011530.1"
"75","AC012146.3"
"76","AC012313.8"
"77","AC012558.1"
"78","AC013244.1"
"79","AC015660.2"
"80","AC015660.3"
"81","AC015983.2"
"82","AC016027.1"
"83","AC016168.2"
"84","AC016717.3"
"85","AC016722.3"
"86","AC016737.1"
"87","AC016739.1"
"88","AC018845.3"
"89","AC020661.1"
"90","AC020928.1"
"91","AC021218.1"
"92","AC021755.2"
"93","AC021755.3"
"94","AC022167.2"
"95","AC023157.1"
"96","AC023157.3"
"97","AC023424.2"
"98","AC023509.4"
"99","AC023632.4"
"100","AC024361.3"
"101","AC024560.1"
"102","AC024575.1"
"103","AC024592.2"
"104","AC024896.1"
"105","AC025809.1"
"106","AC026254.2"
"107","AC026367.3"
"108","AC026471.4"
"109","AC026741.1"
"110","AC026803.1"
"111","AC027176.3"
"112","AC027601.3"
"113","AC032011.1"
"114","AC034236.2"
"115","AC034236.3"
"116","AC040160.2"
"117","AC044860.2"
"118","AC055713.1"
"119","AC061975.5"
"120","AC062029.1"
"121","AC063952.2"
"122","AC063962.1"
