"","HuAgeGBsplit_02....PSVZbyQSVZ__"
"1","ABCB7"
"2","ABCE1"
"3","ABHD17C"
"4","ABRACL"
"5","ACBD6"
"6","ACKR3"
"7","ACOT7"
"8","ACTL6A"
"9","ACTR3"
"10","ACTR8"
"11","ADAM12"
"12","ADAT2"
"13","ADH5"
"14","ADNP2"
"15","ADSS"
"16","AFF1"
"17","AGPS"
"18","AIDA"
"19","AIMP1"
"20","AKR1E2"
"21","AMD1"
"22","AMOTL1"
"23","ANAPC1"
"24","ANAPC15"
"25","ANAPC4"
"26","ANLN"
"27","ANTXR2"
"28","ANXA4"
"29","ANXA9"
"30","APLF"
"31","APOOL"
"32","ARAF"
"33","ARF4"
"34","ARHGAP33"
"35","ARHGAP35"
"36","ARID1B"
"37","ARID5B"
"38","ARL2BP"
"39","ARL6"
"40","ARMC8"
"41","ARMCX4"
"42","ARMCX6"
"43","ARNT"
"44","ARPP19"
"45","ASTE1"
"46","ASXL2"
"47","ATAD3A"
"48","ATAD5"
"49","ATF6"
"50","ATG5"
"51","ATIC"
"52","ATM"
"53","ATP10A"
"54","ATP11B"
"55","ATP11C"
"56","ATP1B3"
"57","ATR"
"58","AURKAIP1"
"59","AVEN"
"60","B3GALNT1"
"61","B3GNTL1"
"62","BAHCC1"
"63","BAHD1"
"64","BAP1"
"65","BBS12"
"66","BBX"
"67","BCAS2"
"68","BCDIN3D"
"69","BCHE"
"70","BCL2L12"
"71","BCOR"
"72","BEX2"
"73","BEX4"
"74","BICC1"
"75","BLM"
"76","BLZF1"
"77","BMPR2"
"78","BRK1"
"79","BRPF1"
"80","BZW2"
"81","C12orf4"
"82","C16orf87"
"83","C18orf54"
"84","C1orf109"
"85","C1orf159"
"86","C1orf174"
"87","C1orf216"
"88","C1orf74"
"89","C1QL1"
"90","C4orf3"
"91","C4orf46"
"92","C9orf64"
"93","CA12"
"94","CA13"
"95","CACTIN"
"96","CAND2"
"97","CAPN7"
"98","CARHSP1"
"99","CASP3"
"100","CAST"
"101","CBFB"
"102","CBX1"
"103","CCDC106"
"104","CCDC14"
"105","CCDC142"
"106","CCDC174"
"107","CCDC50"
"108","CCDC51"
"109","CCDC58"
"110","CCDC66"
"111","CCDC77"
"112","CCNE1"
"113","CCNG2"
"114","CCNI"
"115","CCNL1"
"116","CD3EAP"
"117","CDC25A"
"118","CDC42SE1"
"119","CDK10"
"120","CDK11B"
"121","CDK2AP1"
"122","CDKN1B"
"123","CDKN2D"
"124","CDV3"
"125","CEBPZOS"
"126","CELSR3"
"127","CENPC"
"128","CENPL"
"129","CENPV"
"130","CEP162"
"131","CEP350"
"132","CEP44"
"133","CEP57L1"
"134","CEP68"
"135","CEP70"
"136","CEP89"
"137","CEP97"
"138","CFL1"
"139","CGGBP1"
"140","CGNL1"
"141","CHAC1"
"142","CHCHD4"
"143","CHCHD6"
"144","CHD3"
"145","CHD5"
"146","CHGA"
"147","CHRNA4"
"148","CHST8"
"149","CISD2"
"150","CMC2"
"151","CMSS1"
"152","CMTR2"
"153","CMYA5"
"154","CNIH2"
"155","CNOT10"
"156","CNOT11"
"157","CNOT3"
"158","CNOT6L"
"159","COG4"
"160","COG8"
"161","COL14A1"
"162","COL1A1"
"163","COL3A1"
"164","COL4A6"
"165","COL9A2"
"166","COMMD1"
"167","CPD"
"168","CPLX1"
"169","CPNE3"
"170","CPNE8"
"171","CREB1"
"172","CRIPT"
"173","CRYBG3"
"174","CSF1R"
"175","CSGALNACT2"
"176","CSNK1D"
"177","CSTF2"
"178","CTPS1"
"179","CTSS"
"180","CTU1"
"181","CUL4B"
"182","CX3CR1"
"183","CXCR4"
"184","CYB561A3"
"185","DACH1"
"186","DAP3"
"187","DAZAP1"
"188","DBR1"
"189","DCK"
"190","DCUN1D1"
"191","DDX18"
"192","DDX20"
"193","DDX39A"
"194","DDX55"
"195","DENR"
"196","DFFA"
"197","DGKQ"
"198","DHDH"
"199","DHX15"
"200","DHX30"
"201","DHX33"
"202","DKC1"
"203","DLEU7"
"204","DLGAP3"
"205","DLL1"
"206","DMRTA1"
"207","DNAJC11"
"208","DNAJC14"
"209","DNPEP"
"210","DOCK11"
"211","DPF1"
"212","DPH3"
"213","DPY30"
