"","HuAgeGBsplit_38....QGBCbyPGBC__"
"1","AC006538.2"
"2","AC020904.2"
"3","AC022762.2"
"4","AC067852.1"
"5","AC073476.3"
"6","C11orf42"
"7","GCHFR"
"8","HLA-DMA"
"9","LBX2"
"10","LBX2-AS1"
"11","MT-TL1"
"12","MT-TM"
"13","MT-TQ"
"14","MT-TV"
"15","MTND4P35"
"16","NLGN3"
"17","RAB24"
"18","TRAPPC5"
"19","U91328.3"
