"","HuAgeGBsplit_05....PGBObyQGBO__"
"1","AC005972.2"
"2","AC007450.2"
"3","AC012213.1"
"4","AC092620.3"
"5","AL158152.2"
"6","AL158212.4"
"7","AL354811.1"
"8","AL360093.1"
"9","BROX"
"10","CD59"
"11","FBXL7"
"12","HIST1H1A"
"13","LRIF1"
"14","MRPS5P3"
"15","MT-ATP6"
"16","MT-CYB"
"17","MT-ND2"
"18","MT-ND4"
"19","NDUFB11P1"
"20","PATE3"
"21","RF00612"
"22","SYT14"
"23","THOC7"
"24","TSSK3"
"25","ZNF804B"
