"","HuAgeGBsplit_16....PGBObyQGBO__"
"1","AC010203.2"
"2","AC019118.1"
"3","AC092580.2"
"4","AC104073.2"
"5","AC108667.1"
"6","AL162497.1"
"7","AL583810.1"
"8","ANKRD10"
"9","AP000866.2"
"10","AP002414.4"
"11","DGKI"
"12","DSG2"
"13","FAM105A"
"14","GLB1L3"
"15","IRS2"
"16","ITPR3"
"17","KCNC4-AS1"
"18","KCNJ4"
"19","LINC00565"
"20","MEIS1-AS3"
"21","MICALL2"
"22","NAB1"
"23","PIDD1"
"24","PLEKHG4B"
"25","PPIAP34"
"26","SH3RF3-AS1"
"27","SLC12A5-AS1"
"28","TXNP4"
