"","HuAgeGBsplit_25....QGBObyPGBO__"
"1","AL023773.1"
"2","AL079352.1"
"3","AL109615.3"
"4","AL109618.1"
"5","AL135924.2"
"6","AL161431.1"
"7","C4BPB"
"8","ELOBP2"
"9","HAUS1P2"
"10","LINC00942"
"11","NACA2"
"12","OR4D9"
"13","RPL24P7"
"14","SOX5P1"
"15","STIP1P3"
"16","TPMTP1"
"17","TPSB2"
"18","TUBB4BP3"
"19","YTHDF2P1"
