"","paleturquoise....QGBObyPGBO__"
"1","AC011453.1"
"2","AC018521.7"
"3","AC020899.1"
"4","AC069218.2"
"5","AC130343.2"
"6","AC137695.1"
"7","AL132642.2"
"8","AL353726.2"
"9","HMGN2P22"
"10","LINC01012"
"11","OR6K1P"
"12","RBMX2P5"
"13","RN7SL163P"
"14","RNU7-155P"
"15","RPL12P13"
"16","RPL30P4"
"17","RPL36AP39"
"18","RPSAP29"
"19","SMARCE1P6"
