"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"HuAgeGBsplit_30","NSCbyNPC__","User",4.77214425083589e-111
"HuAgeGBsplit_11","QNPbyTAP__","User",1.67863163400233e-99
"HuAgeGBsplit_30","PSVZbyQSVZ__","User",1.07667996856897e-55
"HuAgeGBsplit_30","PGBCbyQGBC__","User",1.46591972404275e-47
"HuAgeGBsplit_10","QGBObyPGBO__","User",2.55038696852194e-43
"HuAgeGBsplit_07","TAPbyQNP__","User",1.1927050207219e-35
"HuAgeGBsplit_14","QNPbyTAP__","User",5.75909027251821e-35
"HuAgeGBsplit_18","QNPbyTAP__","User",5.24384465838574e-30
"HuAgeGBsplit_15","QNPbyTAP__","User",1.26085987832344e-29
"HuAgeGBsplit_19","TAPbyQNP__","User",6.35377918666401e-26
"HuAgeGBsplit_10","TAPbyQNP__","User",3.14382250091832e-25
"HuAgeGBsplit_19","PGBCbyQGBC__","User",3.81035037261677e-23
"HuAgeGBsplit_07","PSVZbyQSVZ__","User",1.41587624725141e-22
"HuAgeGBsplit_10","PSVZbyQSVZ__","User",1.58578431918473e-22
"HuAgeGBsplit_30","TAPbyQNP__","User",2.2231571187465e-22
"HuAgeGBsplit_12","TAPbyQNP__","User",5.94593149046555e-21
"HuAgeGBsplit_01","TAPbyQNP__","User",1.30257494520888e-18
"HuAgeGBsplit_10","QNPbyTAP__","User",3.26388252465696e-16
"HuAgeGBsplit_02","PGBCbyQGBC__","User",3.30045846146869e-16
"HuAgeGBsplit_01","PGBCbyQGBC__","User",1.00800476010377e-15
"HuAgeGBsplit_13","NSCbyNPC__","User",3.51941331480827e-15
"HuAgeGBsplit_10","PGBCbyQGBC__","User",2.37868134680046e-14
"HuAgeGBsplit_02","PGBObyQGBO__","User",1.00501734605655e-13
"HuAgeGBsplit_19","PSVZbyQSVZ__","User",1.21943804510715e-13
"HuAgeGBsplit_01","PSVZbyQSVZ__","User",1.80405548860434e-13
"HuAgeGBsplit_15","PGBCbyQGBC__","User",5.92401979759025e-13
"HuAgeGBsplit_17","TAPbyQNP__","User",6.87927681918534e-13
"HuAgeGBsplit_02","QGBCbyPGBC__","User",2.20521169928107e-12
"HuAgeGBsplit_12","PSVZbyQSVZ__","User",1.18053431811228e-11
"HuAgeGBsplit_17","PSVZbyQSVZ__","User",1.66092505283158e-11
"HuAgeGBsplit_15","QSVZbyPSVZ__","User",3.73662722518406e-10
"HuAgeGBsplit_07","QGBCbyPGBC__","User",8.01762918038745e-10
"HuAgeGBsplit_15","PSVZbyQSVZ__","User",1.28614277457306e-09
"HuAgeGBsplit_12","NPCbyNSC__","User",1.56881912361024e-09
"HuAgeGBsplit_19","QSVZbyPSVZ__","User",1.87495837220697e-09
"HuAgeGBsplit_07","QSVZbyPSVZ__","User",7.43607730039686e-09
"HuAgeGBsplit_01","NPCbyNSC__","User",1.18744760442325e-08
"HuAgeGBsplit_07","NPCbyNSC__","User",1.36860013201264e-08
"HuAgeGBsplit_10","QSVZbyPSVZ__","User",1.509422046967e-08
"HuAgeGBsplit_06","NPCbyNSC__","User",3.62188021147912e-08
"HuAgeGBsplit_19","NPCbyNSC__","User",5.36621152865778e-08
"HuAgeGBsplit_17","PGBCbyQGBC__","User",7.97474089284908e-08
"HuAgeGBsplit_10","NPCbyNSC__","User",1.43816560697194e-07
"HuAgeGBsplit_18","PGBCbyQGBC__","User",2.11353262087268e-07
"HuAgeGBsplit_01","QSVZbyPSVZ__","User",4.24260691898415e-07
"HuAgeGBsplit_06","QSVZbyPSVZ__","User",4.25712473775146e-07
"HuAgeGBsplit_11","PSVZbyQSVZ__","User",7.92209969331882e-07
"HuAgeGBsplit_12","QSVZbyPSVZ__","User",9.43732783447587e-07
"HuAgeGBsplit_12","QGBCbyPGBC__","User",1.06130322993732e-06
"HuAgeGBsplit_07","NSCbyNPC__","User",2.00791423132926e-06
"HuAgeGBsplit_06","TAPbyQNP__","User",1.13064568995012e-05
"HuAgeGBsplit_13","PGBCbyQGBC__","User",1.99584404804377e-05
"HuAgeGBsplit_15","NSCbyNPC__","User",4.53445098076939e-05
"HuAgeGBsplit_18","PSVZbyQSVZ__","User",5.01804412474328e-05
"HuAgeGBsplit_19","NSCbyNPC__","User",9.26271474023365e-05
"HuAgeGBsplit_17","NSCbyNPC__","User",0.000131702984159928
"HuAgeGBsplit_06","QGBCbyPGBC__","User",0.000194233116194728
"HuAgeGBsplit_01","QNPbyTAP__","User",0.00019934067194977
"HuAgeGBsplit_22","PGBObyQGBO__","User",0.000623862015103218
"HuAgeGBsplit_11","QGBCbyPGBC__","User",0.00127625279310373
"HuAgeGBsplit_11","NSCbyNPC__","User",0.00149572260640211
"HuAgeGBsplit_14","PGBCbyQGBC__","User",0.00152846155302219
"HuAgeGBsplit_17","QSVZbyPSVZ__","User",0.00307343904171174
"HuAgeGBsplit_12","NSCbyNPC__","User",0.00439395807862638
"HuAgeGBsplit_02","QSVZbyPSVZ__","User",0.0048059819644984
"HuAgeGBsplit_11","PGBCbyQGBC__","User",0.00524711734508317
"HuAgeGBsplit_01","NSCbyNPC__","User",0.0054393650345186
"HuAgeGBsplit_18","QSVZbyPSVZ__","User",0.00671730222888836
"HuAgeGBsplit_11","NPCbyNSC__","User",0.0109378772560502
"HuAgeGBsplit_02","NPCbyNSC__","User",0.0117635338031686
"HuAgeGBsplit_14","PSVZbyQSVZ__","User",0.0168887838657474
"HuAgeGBsplit_18","NPCbyNSC__","User",0.0205069196807355
"HuAgeGBsplit_14","NPCbyNSC__","User",0.0219881681080732
