"","greenyellow....TAPbyQNP__"
"1","AHRR"
"2","CKS2"
"3","COPRS"
"4","EVI5"
"5","GAMT"
"6","GGT7"
"7","KPNA2"
"8","LRRC14B"
"9","MSI1"
"10","NCKAP1"
"11","PLAGL2"
"12","POFUT1"
"13","PPM1E"
"14","PTGER1"
"15","RGL3"
"16","SLC12A7"
"17","SLC6A3"
"18","SPOP"
"19","TBX1"
"20","TM9SF4"
"21","TPSG1"
"22","UBR3"
