"","sienna3....PGBCbyQGBC__"
"1","AC092896.1"
"2","AC093787.1"
"3","AC104073.1"
"4","ALB"
"5","ANKRD34B"
"6","AP001542.1"
"7","CDR2"
"8","CHMP3"
"9","DGKH"
"10","GOLT1A"
"11","HMGN2P13"
"12","ITM2C"
"13","LINC00460"
"14","MYB"
"15","SBSN"
"16","SH3RF2"
"17","SLC35D3"
"18","SLC9A7"
"19","TMEM159"
"20","TOMM34"
