"","HuAgeGBsplit_02....PGBObyQGBO__"
"1","ABCC3"
"2","ABHD17C"
"3","ABHD4"
"4","ABTB1"
"5","AC002069.2"
"6","AC003965.1"
"7","AC004771.3"
"8","AC004854.2"
"9","AC005013.1"
"10","AC005363.2"
"11","AC005674.2"
"12","AC005776.1"
"13","AC005840.1"
"14","AC006058.1"
"15","AC006058.2"
"16","AC006058.4"
"17","AC006252.1"
"18","AC006329.2"
"19","AC007391.1"
"20","AC007952.4"
"21","AC008074.3"
"22","AC008269.1"
"23","AC008537.1"
"24","AC008750.3"
"25","AC008806.1"
"26","AC008969.1"
"27","AC009108.3"
"28","AC009414.2"
"29","AC009570.1"
"30","AC009955.2"
"31","AC010201.1"
"32","AC010201.2"
"33","AC010327.4"
"34","AC010422.2"
"35","AC010491.1"
"36","AC010618.3"
"37","AC010654.1"
"38","AC010719.1"
"39","AC010883.1"
"40","AC010894.5"
"41","AC012313.5"
"42","AC012354.2"
"43","AC012508.2"
"44","AC013451.2"
"45","AC015912.3"
"46","AC015922.4"
"47","AC016027.1"
"48","AC016168.2"
"49","AC016405.3"
"50","AC018450.1"
"51","AC018558.2"
"52","AC018845.3"
"53","AC020551.1"
"54","AC020765.2"
"55","AC020910.5"
"56","AC021321.1"
"57","AC022211.2"
"58","AC023157.3"
"59","AC023509.4"
"60","AC025161.1"
"61","AC025809.1"
"62","AC026333.4"
"63","AC026367.1"
"64","AC026367.3"
"65","AC026803.1"
"66","AC027139.2"
"67","AC027328.1"
"68","AC032011.1"
"69","AC044860.2"
"70","AC062029.1"
"71","AC064875.1"
"72","AC068338.3"
"73","AC068768.1"
"74","AC068870.1"
"75","AC069224.1"
"76","AC069234.4"
"77","AC069499.1"
"78","AC073195.1"
"79","AC073210.1"
"80","AC073342.3"
"81","AC073349.2"
"82","AC073352.1"
"83","AC073389.3"
"84","AC073911.2"
"85","AC079766.1"
"86","AC079906.1"
"87","AC079922.2"
"88","AC080078.2"
"89","AC084876.2"
"90","AC087741.3"
"91","AC090229.1"
"92","AC090337.1"
"93","AC091153.3"
"94","AC091932.1"
"95","AC091932.3"
"96","AC091932.4"
"97","AC091941.1"
"98","AC091953.2"
"99","AC092117.1"
"100","AC092645.1"
"101","AC092653.1"
"102","AC092681.3"
"103","AC092933.1"
"104","AC093162.2"
"105","AC093249.6"
"106","AC093278.1"
"107","AC093627.3"
"108","AC097359.1"
"109","AC098614.1"
"110","AC098614.4"
"111","AC098934.2"
"112","AC099552.4"
"113","AC099669.1"
"114","AC099778.1"
"115","AC100823.2"
"116","AC103706.1"
"117","AC104447.1"
"118","AC104785.1"
"119","AC104794.2"
"120","AC104971.1"
"121","AC106820.2"
"122","AC106897.1"
"123","AC107021.2"
"124","AC107214.1"
"125","AC107214.2"
"126","AC107375.1"
"127","AC109326.1"
"128","AC110769.2"
"129","AC112220.2"
"130","AC112220.3"
"131","AC112220.4"
"132","AC112503.2"
"133","AC115522.1"
"134","AC120049.1"
"135","AC131212.4"
"136","AC133552.4"
"137","AC135506.1"
"138","AC136475.6"
"139","AC136475.9"
"140","AC136632.2"
"141","AC138150.1"
"142","AC138207.3"
"143","AC138393.1"
"144","AC138969.1"
"145","AC141928.1"
"146","AC142472.1"
"147","AC145207.9"
"148","AC209007.1"
"149","AC211433.2"
"150","AC233280.1"
"151","AC233992.3"
"152","AC245884.10"
"153","AC245884.8"
"154","ACHE"
"155","ACSM4"
"156","ACTBP9"
"157","ACTG1P17"
"158","ADAMTS9"
"159","ADRA2C"
"160","AF131215.7"
"161","AF131216.4"
"162","AF213884.3"
"163","AHNAK"
"164","AJ011932.1"
"165","AKR1C1"
"166","AL008723.1"
"167","AL008723.3"
"168","AL021154.1"
"169","AL021407.3"
"170","AL021937.1"
"171","AL021997.2"
"172","AL022069.1"
"173","AL023583.1"
"174","AL023973.1"
"175","AL031432.4"
"176","AL049775.1"
