"","HuAgeGBsplit_34....QGBObyPGBO__"
"1","AC005703.5"
"2","AC006967.3"
"3","AC015911.9"
"4","AC019129.1"
"5","AC080080.2"
"6","AC114928.1"
"7","AC131935.2"
"8","AL022326.1"
"9","AL024474.1"
"10","AL035420.2"
"11","CNOT4P1"
"12","FCHO1"
"13","RNU6-1064P"
"14","RPL17P34"
"15","RPL23AP48"
"16","RPL35AP4"
"17","SDCBPP2"
"18","Z92846.1"
