"","yellowgreen....QGBObyPGBO__"
"1","AC118282.4"
"2","AC119751.3"
"3","AC119751.4"
"4","AC119751.5"
"5","AC209154.2"
"6","AC244452.3"
"7","AF250324.1"
"8","AL162588.1"
"9","DNAJB1"
"10","HCAR1"
"11","HSPA1A"
"12","HSPA1B"
"13","LINC01666"
"14","MAGEC2"
"15","RN7SL472P"
"16","VTRNA1-2"
"17","Z83818.2"
