"","HuAgeGBsplit_26....QGBCbyPGBC__"
"1","AC011458.1"
"2","AC021072.1"
"3","AC073316.2"
"4","AC112191.1"
"5","AC136944.1"
"6","AL008638.5"
"7","AL021368.1"
"8","AL353151.1"
"9","AL356859.1"
"10","AL357078.1"
"11","AL713866.1"
"12","AP000974.1"
"13","AP001330.2"
"14","AP003122.2"
"15","CLDN4"
"16","MIR1273E"
"17","OLA1P2"
"18","PFN1P9"
"19","RNU6-450P"
"20","RNU6-716P"
"21","RNU7-97P"
"22","Z99916.3"
