"","HuAgeGBsplit_20....QSVZbyPSVZ__"
"1","AK7"
"2","ANKDD1B"
"3","ATXN7L1"
"4","C18orf25"
"5","C9orf116"
"6","CAPSL"
"7","CCDC13"
"8","CCDC39"
"9","DNAI1"
"10","EFCAB12"
"11","KIF9"
"12","LRRC6"
"13","LRRC9"
"14","NME5"
"15","PRKCH"
"16","RFX2"
"17","RIIAD1"
"18","ROPN1L"
"19","SPEF1"
"20","TSGA10"
"21","WDR63"
