"","blue....QNPbyTAP__"
"1","ABCA2"
"2","ABCC3"
"3","ABHD17C"
"4","ABHD4"
"5","ACTN4"
"6","ACY3"
"7","ADAM12"
"8","ADAM15"
"9","ADCY5"
"10","ADIPOQ"
"11","ADRB1"
"12","AGTRAP"
"13","AHNAK"
"14","AKT2"
"15","ALCAM"
"16","ALG1"
"17","AMOTL2"
"18","ANAPC15"
"19","ANKRD42"
"20","ANKRD50"
"21","ANO6"
"22","ANXA5"
"23","APLP1"
"24","APOBR"
"25","ARAP1"
"26","ARHGAP31"
"27","ARHGAP33"
"28","ARHGAP35"
"29","ARHGEF1"
"30","ARID5A"
"31","ARL6"
"32","ARL6IP5"
"33","ASB7"
"34","ATAD5"
"35","ATCAY"
"36","ATG3"
"37","ATOH8"
"38","ATP1B3"
"39","ATP6V1A"
"40","AXL"
"41","BAG3"
"42","BAHCC1"
"43","BBX"
"44","BCAP31"
"45","BCL2L12"
"46","BCL6"
"47","BLM"
"48","BLZF1"
"49","BOC"
"50","BRK1"
"51","BSG"
"52","C16orf72"
"53","C17orf97"
"54","C19orf12"
"55","C19orf47"
"56","C1orf74"
"57","C1QL1"
"58","C1R"
"59","C2CD2"
"60","CACNG4"
"61","CACTIN"
"62","CALD1"
"63","CALM3"
"64","CARHSP1"
"65","CASKIN1"
"66","CAST"
"67","CAVIN3"
"68","CBX1"
"69","CCDC14"
"70","CCDC58"
"71","CD1D"
"72","CD3EAP"
"73","CD47"
"74","CDH2"
"75","CDV3"
"76","CEBPG"
"77","CEP89"
"78","CEP97"
"79","CFL1"
"80","CFLAR"
"81","CGGBP1"
"82","CHAC1"
"83","CHCHD4"
"84","CHD3"
"85","CHKA"
"86","CHST2"
"87","CHSY1"
"88","CIC"
"89","CLDND1"
"90","CNIH2"
"91","CNNM1"
"92","CNP"
"93","COPZ2"
"94","COQ8B"
"95","COX17"
"96","CPD"
"97","CPEB3"
"98","CPOX"
"99","CPT1A"
"100","CPT1C"
"101","CPTP"
"102","CREBZF"
"103","CRELD1"
"104","CRYBG3"
"105","CSF1"
"106","CSGALNACT2"
"107","CSNK1D"
"108","CTDSP1"
"109","CTU1"
"110","CTU2"
"111","CTXN1"
"112","CXCR4"
"113","CYB561A3"
"114","CYB5A"
"115","CYFIP1"
"116","DDR1"
"117","DFFB"
"118","DHCR24"
"119","DHCR7"
"120","DHDH"
"121","DHX33"
"122","DIRAS2"
"123","DMRT2"
"124","DMRT3"
"125","DNAJC28"
"126","DOCK8"
"127","DPY19L3"
"128","ECE1"
"129","ECH1"
"130","EDEM1"
"131","EFL1"
"132","EHD1"
"133","EHD2"
"134","EHD4"
"135","EID2"
"136","EID2B"
"137","EIF4G2"
"138","ELOVL1"
"139","EMC1"
"140","EMC4"
"141","EMILIN1"
"142","EML2"
"143","EMP1"
"144","EMP2"
"145","EMX2"
"146","EPN2"
"147","ERI2"
"148","ERRFI1"
"149","ETS2"
"150","FAAP24"
"151","FADS2"
"152","FAM129B"
"153","FAM20C"
"154","FAM3A"
"155","FAM98C"
"156","FAN1"
"157","FAT1"
"158","FAT4"
"159","FBXL19"
"160","FBXO46"
"161","FBXO6"
"162","FECH"
"163","FGF22"
