"","HuAgeGBsplit_19....PGBObyQGBO__"
"1","AC024243.1"
"2","AC068620.1"
"3","AC130371.2"
"4","AL023803.1"
"5","AL035563.1"
"6","AL049612.1"
"7","AL117335.1"
"8","AL121895.2"
"9","AL121906.2"
"10","AL390198.1"
"11","BMP2"
"12","ELMO2"
"13","IQCD"
"14","KIF16B"
"15","LZTS3"
"16","NCOA3"
"17","NEURL2"
"18","PPARGC1A"
"19","PRNP"
"20","PYGB"
"21","RASL11B"
"22","RN7SL76P"
"23","RN7SL804P"
"24","SPATA25"
"25","TANK"
"26","USP46-AS1"
"27","VN1R108P"
"28","ZNF337"
"29","ZSCAN12"
