"","grey60....PGBObyQGBO__"
"1","AC004918.1"
"2","AC022916.1"
"3","AC027644.1"
"4","AC078842.1"
"5","AC091729.3"
"6","AL355001.2"
"7","AL359513.1"
"8","B3GNT9"
"9","C21orf58"
"10","CNGA4"
"11","FNDC3A"
"12","HNRNPCP7"
"13","IFNGR2"
"14","ITPRIP"
"15","LINC01424"
"16","LINC01547"
"17","MGLL"
"18","MIPEPP3"
"19","NHLRC3"
"20","PAN3-AS1"
"21","PTN"
"22","RBM26-AS1"
"23","SLFN5"
"24","TMEM225B"
"25","ZNF425"
