"","HuAgeGBsplit_27....QNPbyTAP__"
"1","ABCA5"
"2","C17orf58"
"3","CD200"
"4","CSRP1"
"5","DAG1"
"6","DGKE"
"7","DYNLL2"
"8","ITGA6"
"9","LGI4"
"10","MAFB"
"11","MAP3K3"
"12","RBMS1"
"13","SERPINE2"
"14","SOD3"
"15","SOX8"
"16","SPHK1"
"17","TANC2"
"18","TEX2"
"19","TFAP2A"
"20","THBS2"
"21","TMEM127"
"22","ZNF536"
