"","blue....QSVZbyPSVZ__"
"323","EPHA5"
"324","EPM2AIP1"
"325","EPN2"
"326","EPS8"
"327","ERC1"
"328","ERCC4"
"329","ERMAP"
"330","ERRFI1"
"331","ETFDH"
"332","ETNPPL"
"333","ETS2"
"334","ETV3"
"335","ETV6"
"336","EVA1A"
"337","EXOC2"
"338","EXOC6B"
"339","EXTL2"
"340","F3"
"341","FA2H"
"342","FADS2"
"343","FAM114A1"
"344","FAM161A"
"345","FAM163B"
"346","FAM189A2"
"347","FAM199X"
"348","FAM20C"
"349","FAM228B"
"350","FAM3A"
"351","FAM49A"
"352","FAM98C"
"353","FBXL16"
"354","FBXL2"
"355","FBXL5"
"356","FBXO41"
"357","FBXO46"
"358","FBXO6"
"359","FBXO8"
"360","FDFT1"
"361","FECH"
"362","FGF12"
"363","FGF2"
"364","FGFBP3"
"365","FGFR2"
"366","FHL1"
"367","FIGN"
"368","FKBP8"
"369","FLAD1"
"370","FMN2"
"371","FNDC3B"
"372","FOLH1"
"373","FOXD1"
"374","FREM1"
"375","FRMD5"
"376","FRMD8"
"377","FRYL"
"378","FTO"
"379","FUCA2"
"380","FUNDC1"
"381","FYCO1"
"382","FYN"
"383","FZD5"
"384","FZD8"
"385","G3BP2"
"386","GAB1"
"387","GABRB1"
"388","GALM"
"389","GALNT6"
"390","GAP43"
"391","GCFC2"
"392","GCLC"
"393","GDE1"
"394","GDF10"
"395","GDPD2"
"396","GEM"
"397","GFRA1"
"398","GJA1"
"399","GJB2"
"400","GJB6"
"401","GLB1"
"402","GLI2"
"403","GLI3"
"404","GLRB"
"405","GLUL"
"406","GNAO1"
"407","GNG11"
"408","GOLGA7B"
"409","GOLPH3L"
"410","GOLT1B"
"411","GORASP1"
"412","GPATCH1"
"413","GPATCH3"
"414","GPD1L"
"415","GPI"
"416","GPM6A"
"417","GPM6B"
"418","GPR162"
"419","GPR19"
"420","GPR37"
"421","GPR37L1"
"422","GPR62"
"423","GPR88"
"424","GPRASP2"
"425","GPT2"
"426","GRAMD1A"
"427","GRIA2"
"428","GRIA3"
"429","GRIN1"
"430","GSG1L"
"431","GYG1"
"432","H6PD"
"433","HACE1"
"434","HAPLN1"
"435","HDAC2"
"436","HDHD3"
"437","HEATR5A"
"438","HEPH"
"439","HEY2"
"440","HFE"
"441","HGF"
"442","HHIP"
"443","HIBCH"
"444","HIGD1B"
"445","HIP1R"
"446","HLTF"
"447","HLX"
"448","HMGCR"
"449","HMGCS1"
"450","HOPX"
"451","HPCA"
"452","HPRT1"
"453","HPS3"
"454","HRH1"
"455","HS6ST1"
"456","HSD17B11"
"457","HSD17B7"
"458","HSPA2"
"459","HTRA1"
"460","ICE2"
"461","ICOSLG"
"462","IDI1"
"463","IFNGR1"
"464","IFT122"
"465","IGFBP7"
"466","IL11RA"
"467","IL17RC"
"468","IL1RAP"
"469","IL33"
"470","IL4R"
"471","IMPACT"
"472","INA"
"473","INHBA"
"474","INHBB"
"475","INO80D"
"476","INSIG1"
"477","IP6K1"
"478","IPO13"
"479","IQGAP1"
"480","IRAK1"
"481","IRAK4"
"482","ITGA7"
"483","ITGA8"
"484","ITGAV"
"485","ITGB8"
"486","ITGBL1"
"487","ITIH3"
"488","ITPR2"
"489","IYD"
"490","JAKMIP3"
"491","JOSD2"
"492","JPH4"
"493","KAT2B"
"494","KAZN"
"495","KBTBD8"
"496","KCNA2"
"497","KCNG4"
"498","KCNIP3"
"499","KCNJ14"
"500","KCNK2"
"501","KCNMA1"
"502","KCNN1"
"503","KCTD6"
"504","KIAA0040"
"505","KIAA0355"
"506","KIAA1211L"
"507","KIAA1324L"
"508","KIAA1614"
"509","KIAA2013"
"510","KIF1A"
"511","KIF1B"
"512","KIF21B"
"513","KIF3C"
"514","KIFAP3"
"515","KL"
"516","KLF13"
"517","KLF15"
"518","KLF3"
"519","KLHL17"
"520","KLHL2"
"521","KLHL21"
"522","KLHL24"
"523","KLHL4"
"524","KLHL8"
"525","KRBA1"
"526","KRCC1"
"527","LAMA2"
"528","LAMB2"
"529","LAMP2"
"530","LARS2"
"531","LAS1L"
"532","LCLAT1"
"533","LDHB"
"534","LDLR"
"535","LETM1"
"536","LGALS2"
"537","LGI3"
"538","LHFPL2"
"539","LMAN2L"
"540","LMF1"
"541","LPCAT4"
"542","LPL"
"543","LRFN3"
"544","LRIG2"
"545","LRP10"
"546","LRP4"
"547","LRP5"
"548","LRRC2"
"549","LRRC42"
"550","LRRC57"
"551","LRRC58"
"552","LRRC61"
"553","LRRFIP2"
"554","LRRK2"
"555","LSM10"
"556","LTBP3"
"557","LUZP2"
"558","LYPD6"
"559","LYSMD2"
"560","MACF1"
"561","MAGI3"
"562","MAN1A1"
"563","MAN2B2"
"564","MANBA"
"565","MANEA"
"566","MANEAL"
"567","MANSC1"
"568","MAP3K10"
"569","MAP7D1"
"570","MAPK10"
"571","MAPK8IP2"
"572","MAPKAPK3"
"573","MBD4"
"574","MBOAT2"
"575","MBP"
"576","MCCC1"
"577","MCEE"
"578","MCFD2"
"579","MCTS1"
"580","ME1"
"581","MECR"
"582","METTL7A"
"583","MFAP3L"
"584","MFN1"
"585","MFSD1"
