"","HuAgeGBsplit_01....NPCbyNSC__"
"1","A2M"
"2","A4GALT"
"3","AATK"
"4","ABAT"
"5","ABCA7"
"6","ABCC10"
"7","ABCC9"
"8","ABHD17A"
"9","ABHD3"
"10","ABHD6"
"11","ACADM"
"12","ACE2"
"13","ACOT11"
"14","ACRBP"
"15","ACVR1B"
"16","ACVR2A"
"17","ACYP2"
"18","ADAM11"
"19","ADAMTS10"
"20","ADAMTS4"
"21","ADD1"
"22","ADI1"
"23","ADIPOR2"
"24","AEBP1"
"25","AGAP1"
"26","AGAP2"
"27","AGBL5"
"28","AGER"
"29","AGFG1"
"30","AGL"
"31","AGPAT4"
"32","AGT"
"33","AIFM3"
"34","AKAP8L"
"35","AKAP9"
"36","AKIRIN2"
"37","AKR7L"
"38","AKT3"
"39","AKTIP"
"40","ALDH3A1"
"41","ALDH3A2"
"42","ALKBH7"
"43","AMFR"
"44","AMN1"
"45","AMOT"
"46","ANGEL2"
"47","ANKH"
"48","ANKLE2"
"49","ANKRD12"
"50","ANKRD29"
"51","ANKRD46"
"52","ANKS3"
"53","ANXA1"
"54","AP3D1"
"55","APC"
"56","APLNR"
"57","APOA1"
"58","APOO"
"59","APPL2"
"60","ARHGEF15"
"61","ARHGEF2"
"62","ARHGEF25"
"63","ARID4B"
"64","ARL5A"
"65","ARL5C"
"66","ARL8A"
"67","ARMC6"
"68","ASGR1"
"69","ASIC1"
"70","ATG101"
"71","ATG16L2"
"72","ATG4C"
"73","ATL2"
"74","ATP13A1"
"75","ATP1A1"
"76","ATP1B2"
"77","ATP23"
"78","ATP5ME"
"79","ATP6V0B"
"80","ATP6V0E2"
"81","ATP6V1G2"
"82","ATP8B2"
"83","ATXN2"
"84","ATXN2L"
"85","B3GALT6"
"86","BAALC"
"87","BBS10"
"88","BBS4"
"89","BCL2"
"90","BCL7A"
"91","BFAR"
"92","BICD1"
"93","BIRC7"
"94","BLOC1S4"
"95","BMP1"
"96","BMPER"
"97","BORCS5"
"98","BORCS6"
"99","BPHL"
"100","BPNT1"
"101","BRD2"
"102","BSDC1"
"103","BSN"
"104","BTBD19"
"105","BTBD8"
"106","BTG1"
"107","C11orf95"
"108","C12orf29"
"109","C12orf43"
"110","C12orf73"
"111","C16orf58"
"112","C18orf32"
"113","C1D"
"114","C1GALT1"
"115","C1orf43"
"116","C1orf52"
"117","C1QL3"
"118","C1QTNF12"
"119","C1QTNF2"
"120","C2orf40"
"121","C4orf48"
"122","C8orf82"
"123","CA5B"
"124","CABLES1"
"125","CABYR"
"126","CACHD1"
"127","CACNB1"
"128","CACNB3"
"129","CADM4"
"130","CALCOCO1"
"131","CAMKV"
"132","CAPG"
"133","CAPN15"
"134","CAPN2"
"135","CARD19"
"136","CASC4"
"137","CASQ1"
"138","CATSPER2"
"139","CBX8"
"140","CCDC120"
"141","CCDC130"
"142","CCDC136"
"143","CCDC189"
"144","CCDC28A"
"145","CCDC32"
"146","CCDC59"
"147","CCDC74B"
"148","CCDC78"
"149","CCDC85C"
"150","CCNT2"
"151","CCS"
"152","CD63"
"153","CD9"
"154","CDC34"
"155","CDC42BPA"
"156","CDC42EP1"
"157","CDC42EP2"
"158","CDH10"
"159","CDK16"
"160","CDK17"
"161","CDK18"
"162","CDKL2"
"163","CEACAM21"
"164","CELF3"
"165","CEP170"
"166","CERS4"
"167","CFAP20"
"168","CHGB"
"169","CHM"
"170","CHMP2A"
"171","CHMP2B"
"172","CHMP7"
"173","CHRNB2"
"174","CHST10"
"175","CHST11"
"176","CIAO1"
"177","CIB1"
"178","CIB2"
"179","CIR1"
"180","CISD1"
"181","CLASP2"
"182","CLASRP"
"183","CLCN6"
"184","CLDN5"
"185","CLEC16A"
"186","CLIP4"
"187","CLK1"
"188","CLK2"
"189","CLK4"
"190","CLPP"
"191","CLTB"
"192","CLU"
"193","CLVS1"
"194","CNIH3"
"195","CNN3"
"196","CNOT7"
"197","CNST"
"198","CNTNAP1"
"199","COL6A1"
"200","COMMD4"
"201","COPE"
"202","COPG2"
"203","COQ10A"
"204","CORO2B"
"205","COX20"
"206","COX4I2"
"207","COX5B"
"208","COX6B1"
"209","COX6C"
"210","COX7A1"
"211","COX7A2L"
"212","CPA2"
"213","CPEB1"
"214","CRABP1"
"215","CRBN"
"216","CRMP1"
"217","CRYM"
"218","CSDC2"
"219","CSPG5"
"220","CST6"
"221","CTHRC1"
"222","CTSK"
"223","CWC22"
"224","CXCL12"
"225","CYGB"
"226","CYHR1"
"227","CYP1B1"
"228","CYP4F2"
"229","CYP7B1"
"230","CYTH2"
"231","DAAM2"
"232","DALRD3"
"233","DAPK3"
"234","DCAF15"
"235","DCN"
"236","DCTN2"
"237","DCTN6"
"238","DDA1"
"239","DDAH2"
"240","DDHD2"
"241","DDIT3"
"242","DEDD2"
"243","DEGS1"
"244","DENND5B"
"245","DEPTOR"
"246","DGAT1"
"247","DHX57"
"248","DKK3"
"249","DLG1"
"250","DLG4"
"251","DLGAP1"
"252","DLK2"
"253","DMPK"
"254","DMTN"
"255","DMXL2"
"256","DNAH1"
"257","DNAJA4"
"258","DNAJB2"
"259","DNAJC12"
"260","DNAJC17"
"261","DNASE1L2"
"262","DOT1L"
"263","DSTYK"
"264","DTX1"
"265","DTX3"
"266","DUS3L"
"267","DUSP14"
"268","DUSP4"
"269","DYNC1LI2"
"270","DYNC2H1"
"271","DYNLT1"
"272","DYRK1B"
"273","DZIP3"
"274","EBAG9"
"275","ECHDC1"
"276","EDN3"
"277","EFCAB14"
"278","EFNA1"
"279","EFNA2"
"280","EHD3"
"281","EIF2AK4"
"282","EIF2B3"
"283","EIF3K"
"284","ELAVL3"
"285","ELMOD3"
"286","ELOVL7"
"287","EMC2"
"288","EMC7"
"289","ENAH"
"290","ENDOG"
"291","ENOPH1"
"292","ENPEP"
"293","ENPP2"
"294","ENPP5"
"295","EPHA4"
"296","EPHB6"
"297","EPHX1"
"298","ERCC3"
"299","ERICH1"
"300","ERICH4"
"301","ERMARD"
"302","ERMN"
"303","ESAM"
"304","ESCO1"
"305","ETFRF1"
"306","EYA1"
"307","FABP3"
"308","FABP7"
"309","FADS3"
"310","FAHD2A"
"311","FAM131A"
"312","FAM135A"
"313","FAM160B2"
"314","FAM181A"
"315","FAM20A"
"316","FAM57B"
"317","FAM89A"
"318","FAM8A1"
"319","FANCE"
"320","FARP2"
"321","FBLN5"
"322","FBRSL1"
"323","FBXL12"
"324","FBXL4"
"325","FBXO21"
"326","FBXO25"
"327","FBXO28"
"328","FBXO32"
"329","FBXO9"
"330","FCHSD1"
"331","FGFR1"
"332","FGFR3"
"333","FGFRL1"
"334","FKBP1B"
"335","FKBP7"
"336","FKRP"
"337","FLOT1"
"338","FLRT2"
"339","FLYWCH1"
"340","FMNL2"
"341","FMO1"
"342","FNBP1L"
"343","FNDC11"
"344","FNTA"
"345","FOPNL"
"346","FOXC1"
"347","FOXJ2"
"348","FOXO3"
"349","FOXQ1"
"350","FOXS1"
"351","FRS3"
"352","FSCN1"
"353","FUT9"
"354","FUZ"
"355","FZD1"
"356","FZD4"
"357","FZD6"
"358","GABARAPL1"
"359","GAD1"
"360","GADD45A"
"361","GADD45GIP1"
"362","GALR1"
"363","GAREM1"
"364","GAREM2"
"365","GCDH"
"366","GDAP1"
"367","GDAP1L1"
"368","GDF11"
"369","GFOD2"
"370","GGA2"
"371","GGCX"
"372","GGH"
"373","GIGYF2"
"374","GINM1"
"375","GJB1"
"376","GJC1"
"377","GJC2"
"378","GLB1L2"
"379","GLOD4"
"380","GLS"
"381","GLT8D1"
"382","GNB5"
"383","GNG7"
"384","GNPTG"
"385","GOLGA7"
"386","GPATCH11"
"387","GPLD1"
"388","GPN2"
"389","GPR108"
"390","GPR155"
"391","GPRC5B"
"392","GPT"
"393","GRHL1"
"394","GRM3"
"395","GRSF1"
"396","GSTT2B"
"397","GTF2H5"
"398","GTPBP2"
"399","GTPBP3"
"400","GUF1"
"401","GUK1"
"402","HACD3"
"403","HACL1"
"404","HADHB"
"405","HAGHL"
"406","HAPLN2"
"407","HAPLN3"
"408","HBA2"
"409","HBQ1"
"410","HCFC1R1"
"411","HCFC2"
"412","HCN3"
"413","HDAC8"
"414","HDC"
"415","HDGFL3"
"416","HEBP2"
"417","HECTD4"
"418","HIF3A"
"419","HLF"
"420","HMG20A"
"421","HMGCS2"
"422","HRCT1"
"423","HSBP1"
"424","HSPB1"
"425","HSPB11"
"426","HTRA3"
"427","HYKK"
"428","IARS2"
"429","IBA57"
"430","IDH1"
"431","IFFO1"
"432","IGDCC3"
"433","IGF2R"
"434","IGSF11"
"435","IKZF4"
"436","IL4"
"437","ILK"
"438","ILVBL"
"439","IMP3"
"440","INAFM1"
"441","INPP4A"
"442","INTS8"
"443","IRAK1BP1"
"444","IRS1"
"445","IRX2"
"446","IST1"
"447","ITFG1"
"448","ITGB4"
"449","ITIH2"
"450","ITIH5"
"451","ITM2A"
"452","JTB"
"453","JUP"
"454","KANK3"
"455","KAT8"
"456","KCNAB3"
"457","KCNB1"
"458","KCNE2"
"459","KCNIP2"
"460","KCNJ10"
"461","KCNJ8"
"462","KCNN2"
"463","KCTD15"
"464","KCTD3"
"465","KDELR3"
"466","KDM2A"
"467","KDM4D"
"468","KDM6B"
"469","KIAA0753"
"470","KIAA1841"
"471","KIDINS220"
"472","KIF5A"
"473","KIFC2"
"474","KLF1"
"475","KLF9"
"476","KLHDC8A"
"477","KLHDC8B"
"478","KLHL12"
"479","KLHL42"
"480","KLHL5"
"481","KPTN"
"482","L1CAM"
"483","LACTB"
"484","LAMC1"
"485","LAMC3"
"486","LAPTM4A"
"487","LAPTM4B"
"488","LARP6"
"489","LBP"
"490","LENG8"
"491","LENG9"
"492","LETM2"
"493","LETMD1"
"494","LFNG"
"495","LGALSL"
"496","LHX9"
