"","HuAgeGBsplit_12....QNPbyTAP__"
"1","ADM"
"2","ANKRD9"
"3","ARSG"
"4","ATG14"
"5","BHLHE40"
"6","CDC42BPB"
"7","COX16"
"8","DLST"
"9","DYNC1H1"
"10","FAM177A1"
"11","HES1"
"12","HSD3B7"
"13","IRF2BPL"
"14","ISCA2"
"15","KCNC3"
"16","MAPK1IP1L"
"17","MPP2"
"18","NATD1"
"19","NDUFA13"
"20","NPC2"
"21","NR1I3"
"22","PIGH"
"23","PIP4P1"
"24","RBM25"
"25","SALL2"
"26","SAV1"
"27","SCN1B"
"28","SEL1L"
"29","SIPA1L1"
"30","TLE3"
