"","HuAgeGBsplit_02....QGBObyPGBO__"
"291","AURKAIP1"
"292","BCAP31"
"293","BDH1"
"294","BDH2"
"295","BEX1"
"296","BEX3"
"297","BMP4"
"298","BOLA2P3"
"299","BX005266.3"
"300","C10orf82"
"301","C18orf65"
"302","C1GALT1C1"
"303","C1orf115"
"304","C1orf122"
"305","C1orf61"
"306","C2CD4D"
"307","C2orf80"
"308","C6orf141"
"309","CACNG4"
"310","CAMKK1"
"311","CAMSAP3"
"312","CBFA2T3"
"313","CCDC124"
"314","CCDC28B"
"315","CCDC85B"
"316","CCDC88A"
"317","CCL16"
"318","CCNE1"
"319","CD24"
"320","CENPV"
"321","CES3"
"322","CFAP58-AS1"
"323","CFH"
"324","CHCHD2P3"
"325","CHCHD2P9"
"326","CHCHD6"
"327","CHRM4"
"328","CHST7"
"329","CIAPIN1"
"330","CITED1"
"331","CLEC18A"
"332","CMBL"
"333","CMC2"
"334","CMSS1"
"335","CNOT6LP1"
"336","COA6"
"337","COL1A2"
"338","COLCA1"
"339","COPS9"
"340","COQ3"
"341","COQ8A"
"342","COX6A1"
"343","CPE"
"344","CPSF1P1"
"345","CR382287.2"
"346","CR848007.3"
"347","CRABP2"
"348","CREG2"
"349","CTSS"
"350","CTXN1"
"351","CUL4B"
"352","CXCR4"
"353","CXorf40B"
"354","CXorf57"
"355","CYB5A"
"356","CYP51A1P1"
"357","DKC1"
"358","DLL1"
"359","DMRT2"
"360","DMRT3"
"361","DNAJC22"
"362","DNAJC28"
"363","DOC2GP"
"364","DOHH"
"365","DPM3"
"366","DPY30"
"367","DUS2"
"368","DUSP26"
"369","DUSP9"
"370","DYNLL1"
"371","DYNLL1P3"
"372","DYNLT3P2"
"373","DYRK3"
"374","EBP"
"375","EEF1A1P1"
"376","EEF1A1P13"
"377","EEF1GP7"
"378","EIF1P3"
"379","EIF2S3"
"380","EIF3I"
"381","ELK1"
"382","EML2"
"383","ENPP1"
"384","ENPP4"
"385","EPOP"
"386","ETS2"
"387","FADS2"
"388","FAM110A"
"389","FAM120C"
"390","FAM136A"
"391","FAM189B"
"392","FAM213A"
"393","FAM218BP"
"394","FAM229B"
"395","FAM241A"
"396","FAM25E"
"397","FAM3A"
"398","FAM43B"
"399","FAM98B"
"400","FBLIM1"
"401","FBN2"
"402","FDFT1"
"403","FERMT1"
"404","FGD1"
"405","FGF2"
"406","FGF22"
"407","FGF23"
"408","FGFBP3"
"409","FGFR2"
"410","FLAD1"
"411","FMOD"
"412","FNDC8"
"413","FOXO4"
"414","FOXO6"
"415","FSCN1P1"
"416","FSCN2"
"417","FTH1P10"
