"","darkorange....PGBCbyQGBC__"
"1","AC025459.1"
"2","AC079228.1"
"3","AC087477.1"
"4","AC091042.1"
"5","AL451064.1"
"6","AL732618.1"
"7","ATP5F1AP2"
"8","EXOSC3P2"
"9","FBXO48"
"10","FES"
"11","HIST1H2APS4"
"12","HMGN2P31"
"13","LINC02280"
"14","LRRC8E"
"15","PM20D2"
"16","RN7SL300P"
"17","RPL19P21"
"18","VCPIP1"
