"","HuAgeGBsplit_01....TAPbyQNP__"
"1","AAAS"
"2","AARS"
"3","ABCD3"
"4","ABCF1"
"5","ABI2"
"6","ABRAXAS1"
"7","ACBD3"
"8","ACOT13"
"9","ACP1"
"10","ACSF3"
"11","ACVR1B"
"12","ACVR2A"
"13","ADAL"
"14","ADAMTS10"
"15","ADGRL1"
"16","ADI1"
"17","ADIPOR1"
"18","ADIPOR2"
"19","ADPGK"
"20","AFTPH"
"21","AGAP2"
"22","AGFG1"
"23","AGL"
"24","AGO1"
"25","AGO3"
"26","AGPAT4"
"27","AHCTF1"
"28","AJM1"
"29","AKAP17A"
"30","AKAP8"
"31","AKAP8L"
"32","AKAP9"
"33","AKIRIN2"
"34","AKR7L"
"35","AKT3"
"36","AKTIP"
"37","ALDH5A1"
"38","ALDH8A1"
"39","ALKBH2"
"40","AMFR"
"41","AMMECR1L"
"42","AMOT"
"43","ANAPC5"
"44","ANGEL2"
"45","ANKLE1"
"46","ANKLE2"
"47","ANKRD11"
"48","ANKRD13A"
"49","ANKRD13C"
"50","ANKRD17"
"51","ANKRD46"
"52","ANO4"
"53","ANP32A"
"54","AP3M2"
"55","APAF1"
"56","APC"
"57","APPL1"
"58","APPL2"
"59","ARFGEF1"
"60","ARFGEF3"
"61","ARHGAP20"
"62","ARHGAP39"
"63","ARHGAP42"
"64","ARHGEF11"
"65","ARHGEF25"
"66","ARID1A"
"67","ARID2"
"68","ARIH1"
"69","ARL5A"
"70","ARL5C"
"71","ARL6IP6"
"72","ARMC1"
"73","ASAP1"
"74","ASAP2"
"75","ASB8"
"76","ASH1L"
"77","ASH2L"
"78","ASIC1"
"79","ASMTL"
"80","ASNSD1"
"81","ATAD2B"
"82","ATAT1"
"83","ATF1"
"84","ATF2"
"85","ATG101"
"86","ATG4C"
"87","ATL2"
"88","ATN1"
"89","ATP13A1"
"90","ATP13A3"
"91","ATP1A2"
"92","ATP2B1"
"93","ATP2B4"
"94","ATP5MC3"
"95","ATP5ME"
"96","ATP6V1C1"
"97","ATP9B"
"98","ATXN2"
"99","ATXN7L3B"
"100","B3GALNT2"
"101","B4GALT6"
"102","BAG2"
"103","BANP"
"104","BAZ2A"
"105","BAZ2B"
"106","BCL10"
"107","BCL7A"
"108","BCLAF1"
"109","BICD1"
"110","BIRC6"
"111","BNIP2"
"112","BOLA3"
"113","BOP1"
"114","BPNT1"
"115","BRD7"
"116","BRIX1"
"117","BRWD3"
"118","BTBD2"
"119","BTF3L4"
"120","BZW1"
"121","C12orf43"
"122","C12orf45"
"123","C18orf21"
"124","C19orf24"
"125","C19orf53"
"126","C19orf57"
"127","C1D"
"128","C1GALT1"
"129","C1orf52"
"130","C2CD5"
"131","C2orf42"
"132","C2orf69"
"133","C6orf136"
"134","C6orf62"
"135","C8orf76"
"136","CAB39"
"137","CACHD1"
"138","CACYBP"
"139","CAMKV"
"140","CAND1"
"141","CAP1"
"142","CAPZB"
"143","CARD19"
"144","CARD6"
"145","CARM1"
"146","CASC4"
"147","CASP8AP2"
"148","CBX5"
"149","CC2D2A"
"150","CCAR2"
"151","CCDC136"
"152","CCDC25"
"153","CCDC28A"
"154","CCDC59"
"155","CCNA1"
"156","CCNC"
"157","CCNT1"
"158","CCNT2"
"159","CCT2"
"160","CCT3"
"161","CCT4"
"162","CD276"
"163","CDAN1"
"164","CDC14A"
"165","CDC42BPA"
"166","CDC42EP5"
"167","CDC73"
"168","CDH19"
"169","CDH6"
"170","CDK4"
"171","CDYL"
"172","CEBPZ"
"173","CENPT"
"174","CEP192"
"175","CEP290"
"176","CEP63"
"177","CEP83"
"178","CEP85"
"179","CERS4"
"180","CERS5"
"181","CFAP20"
"182","CFDP1"
"183","CHCHD5"
"184","CHD4"
"185","CHD7"
"186","CHD9"
"187","CHRAC1"
"188","CHST11"
"189","CHTF8"
"190","CHTOP"
"191","CIB2"
"192","CISD1"
"193","CKS1B"
"194","CLASP2"
"195","CLCN6"
"196","CLIP1"
"197","CLK1"
"198","CLK2"
"199","CLK3"
"200","CLN8"
"201","CLP1"
"202","CLTB"
"203","CMAS"
"204","CMPK1"
"205","CMTM4"
"206","CNDP1"
"207","CNEP1R1"
"208","CNIH4"
"209","CNKSR3"
"210","CNNM3"
"211","CNOT1"
"212","CNOT7"
"213","CNOT9"
"214","COBL"
"215","COBLL1"
"216","COL4A1"
"217","COL4A2"
"218","COMMD8"
"219","COPS2"
"220","COPS4"
"221","COPS5"
"222","COPS7A"
"223","COPS7B"
"224","COPZ1"
"225","COQ9"
"226","CORO2B"
"227","COX14"
"228","COX20"
"229","COX4I1"
"230","COX7A2L"
"231","CPNE2"
"232","CPSF3"
"233","CPSF6"
"234","CRADD"
"235","CRBN"
"236","CREB5"
"237","CREG1"
"238","CRMP1"
"239","CRTC2"
"240","CSDC2"
"241","CSDE1"
"242","CSNK2A2"
"243","CTBP1"
"244","CTCF"
"245","CTDP1"
"246","CTDSPL2"
"247","CUL3"
"248","CWC22"
"249","CXorf38"
"250","CYHR1"
"251","DALRD3"
"252","DAPK3"
"253","DAXX"
"254","DBNDD1"
"255","DBT"
"256","DCAF15"
"257","DCAF17"
"258","DCAF8"
"259","DCP1B"
"260","DDA1"
"261","DDHD2"
"262","DDX23"
"263","DDX59"
"264","DDX6"
"265","DENND1B"
"266","DENND4A"
"267","DENND4B"
"268","DHDDS"
"269","DHX57"
"270","DHX9"
"271","DIS3L"
"272","DLG1"
"273","DMAP1"
"274","DMXL2"
"275","DNAJA2"
"276","DNAJB2"
"277","DNAJB5"
"278","DNAJC8"
"279","DNM1L"
"280","DNM2"
"281","DNMT1"
"282","DNPH1"
"283","DNTTIP2"
"284","DOCK7"
"285","DOT1L"
"286","DPH5"
"287","DPP8"
"288","DPY19L4"
"289","DPYSL2"
"290","DRAM1"
"291","DSCC1"
"292","DTWD1"
"293","DTX3"
"294","DUSP12"
"295","DUSP16"
"296","DUT"
"297","DYNLT1"
"298","DZIP1L"
"299","E2F4"
"300","E2F5"
"301","E2F6"
"302","E2F7"
"303","EBAG9"
"304","ECHDC1"
"305","ECSIT"
"306","EDC4"
"307","EEF1D"
"308","EFHD2"
"309","EFNA1"
"310","EFR3A"
"311","EHBP1"
"312","EHMT2"
"313","EIF1B"
"314","EIF2B4"
"315","EIF3J"
"316","EIF5B"
"317","ELAVL1"
"318","ELAVL3"
"319","ELF2"
"320","ELOC"
"321","ELOF1"
"322","ELOVL7"
"323","ELP3"
"324","ELP6"
"325","EMC7"
"326","EMC8"
"327","EMD"
"328","EML4"
"329","ENAH"
"330","ENOPH1"
"331","ENPP2"
"332","ENPP3"
"333","ENPP5"
"334","ENTPD4"
"335","ENY2"
"336","EP400"
"337","EPB41L2"
"338","EPG5"
"339","EPRS"
"340","EPS15L1"
"341","EPS8L1"
"342","ERGIC2"
"343","ERICH1"
"344","ERLIN2"
"345","ERMARD"
"346","ERP29"
"347","ESCO1"
"348","ESF1"
"349","ESYT1"
"350","ETFRF1"
"351","EVC"
"352","EXOSC4"
"353","EXOSC6"
"354","EXOSC9"
"355","EYA3"
"356","FABP7"
"357","FAM117B"
"358","FAM120B"
"359","FAM135A"
"360","FAM135B"
"361","FAM168B"
"362","FAM192A"
"363","FAM193A"
"364","FAM216A"
"365","FAM222A"
"366","FAM32A"
"367","FAM49B"
"368","FAM53A"
"369","FAM76A"
"370","FAM89A"
"371","FAM8A1"
"372","FAM92A"
"373","FANCA"
"374","FARSA"
"375","FAXC"
"376","FBXO11"
"377","FBXO22"
"378","FBXO30"
"379","FBXO4"
"380","FBXO5"
"381","FBXO9"
"382","FBXW7"
"383","FBXW8"
"384","FEM1B"
"385","FEZ2"
"386","FGFR1OP2"
"387","FGFRL1"
"388","FH"
"389","FIZ1"
"390","FKBP7"
"391","FLRT2"
"392","FMNL2"
"393","FNBP1L"
"394","FNDC1"
"395","FNIP2"
"396","FNTA"
"397","FOXN2"
"398","FOXO3"
"399","FRG1"
"400","FRS2"
"401","FXR1"
"402","FZR1"
"403","GABPB1"
"404","GAK"
"405","GALNT1"
"406","GATC"
"407","GCC2"
"408","GCDH"
"409","GDAP2"
"410","GDF11"
"411","GGCX"
"412","GGH"
"413","GINM1"
"414","GINS3"
"415","GINS4"
"416","GIT2"
"417","GLG1"
"418","GLMN"
"419","GLS"
"420","GLT8D1"
"421","GLTP"
"422","GNA11"
"423","GNB5"
"424","GNL3"
"425","GNPAT"
"426","GNPTAB"
"427","GOLGA7"
"428","GPANK1"
"429","GPATCH11"
"430","GPCPD1"
"431","GPN1"
"432","GPN2"
"433","GPN3"
"434","GPR137B"
"435","GPR155"
"436","GRK4"
"437","GRSF1"
"438","GSTT2B"
"439","GTF2B"
"440","GTF2E2"
"441","GTF2H5"
"442","GTF3C2"
"443","GUF1"
"444","H2AFY2"
"445","HACD3"
"446","HACL1"
"447","HADHA"
"448","HADHB"
"449","HAS1"
"450","HBS1L"
"451","HDDC2"
"452","HEATR5B"
"453","HEBP2"
"454","HECTD4"
"455","HERC1"
"456","HEXB"
"457","HINT3"
"458","HIPK1"
"459","HIST1H1E"
"460","HIST1H2AB"
"461","HIST1H4B"
"462","HIST1H4L"
"463","HMBOX1"
"464","HMG20A"
"465","HMGCS2"
"466","HNRNPA3"
"467","HNRNPU"
"468","HOOK1"
"469","HSDL1"
"470","HSF1"
"471","HSF2"
"472","HSP90AB1"
"473","HSPBP1"
"474","HTRA2"
"475","HTRA4"
"476","HTT"
"477","HYOU1"
"478","IAH1"
"479","IBTK"
"480","IDH1"
"481","IDH3A"
"482","IFFO1"
"483","IFNA21"
"484","IGF2R"
"485","IGSF10"
"486","IGSF3"
"487","IKBKB"
"488","ILF2"
"489","ILF3"
"490","ILKAP"
"491","IMMT"
"492","IMP3"
"493","IMP4"
"494","IMPA1"
"495","IMPAD1"
"496","INO80"
"497","INPP1"
"498","INTS10"
"499","INTS14"
"500","INTS7"
"501","INTS8"
"502","IQSEC2"
"503","IRAK1BP1"
"504","IREB2"
"505","IRX1"
"506","IRX2"
"507","IRX3"
"508","ISG20L2"
"509","IST1"
"510","ITFG1"
"511","ITGB1BP1"
"512","ITGB3BP"
"513","JADE1"
"514","KANSL1L"
"515","KANSL2"
"516","KARS"
"517","KAT6A"
"518","KATNA1"
"519","KATNBL1"
"520","KBTBD11"
"521","KCNB1"
"522","KCTD9"
"523","KDM1B"
"524","KDM2B"
"525","KEAP1"
"526","KHDC4"
"527","KIAA0895L"
"528","KIAA1841"
"529","KIF13A"
"530","KIZ"
"531","KLC4"
"532","KLF10"
"533","KLHL12"
"534","KLHL5"
"535","KMT2A"
"536","KNSTRN"
"537","KPNA5"
"538","KRR1"
"539","KXD1"
"540","LAMA4"
"541","LAMTOR2"
"542","LAMTOR3"
"543","LANCL1"
"544","LAPTM4B"
"545","LARP6"
"546","LATS1"
"547","LCA5"
"548","LCORL"
"549","LENG1"
"550","LENG8"
"551","LENG9"
"552","LEPROTL1"
"553","LETM2"
"554","LGALS12"
"555","LGALSL"
"556","LGMN"
"557","LGR5"
"558","LIN9"
"559","LLPH"
"560","LMAN1"
"561","LMBR1L"
"562","LNPK"
"563","LRIG3"
"564","LRP11"
"565","LRP8"
"566","LRRC29"
"567","LRRC32"
"568","LRRC41"
"569","LRRC49"
"570","LRRC8D"
"571","LRRFIP1"
"572","LSG1"
"573","LSM1"
"574","LTA4H"
"575","LTV1"
"576","LYAR"
"577","LYPLA1"
"578","M6PR"
"579","MACO1"
"580","MAD2L2"
"581","MAGI1"
"582","MAIP1"
"583","MAN2C1"
"584","MAP2"
"585","MAP2K1"
"586","MAP2K2"
"587","MAP2K5"
"588","MAP2K7"
"589","MAP3K4"
"590","MAP3K5"
"591","MAP7"
"592","MAPRE3"
"593","MARCKS"
"594","MARS"
"595","MATK"
"596","MAU2"
"597","MBD1"
"598","MBD2"
"599","MBD5"
"600","MCUR1"
"601","MDM1"
"602","MDM4"
"603","ME2"
"604","MED20"
"605","MED21"
"606","MED23"
"607","MED28"
"608","MED30"
"609","METTL21A"
"610","MFF"
"611","MFSD10"
"612","MFSD2A"
"613","MGA"
"614","MIDN"
"615","MINDY2"
"616","MKNK2"
"617","MMADHC"
"618","MMP2"
"619","MOB1B"
"620","MOB4"
"621","MOCS1"
"622","MORF4L1"
"623","MOSPD1"
"624","MPC1"
"625","MPI"
"626","MPV17"
"627","MRPL13"
"628","MRPL14"
"629","MRPL18"
"630","MRPL33"
"631","MRPL37"
"632","MRPL42"
"633","MRPL47"
"634","MRPL54"
"635","MRPL9"
