"","green....QGBCbyPGBC__"
"1","AC004941.1"
"2","AC079193.2"
"3","AL121580.1"
"4","AL139393.1"
"5","AL359762.2"
"6","AL451105.2"
"7","AP003354.2"
"8","AP005901.2"
"9","C3orf35"
"10","FRMD4A"
"11","HSD3BP1"
"12","LRIF1"
"13","METTL25"
"14","MIF4GD"
"15","MT-CYB"
"16","MT-ND4"
"17","MT-ND4L"
"18","MTMR3"
"19","NDUFA5P4"
"20","PPIAP44"
"21","RN7SKP145"
"22","RNF187"
"23","TSSK3"
