"","magenta....QNPbyTAP__"
"1","AKAP13"
"2","AP5B1"
"3","B3GNT4"
"4","C1orf198"
"5","CDIP1"
"6","FUOM"
"7","LSAMP"
"8","MAPT"
"9","MGARP"
"10","MINK1"
"11","MVP"
"12","NRIP3"
"13","NSMCE1"
"14","SLC1A1"
"15","SLC3A2"
"16","SMTN"
"17","SPATA6L"
"18","STK3"
"19","TMEM8A"
"20","TRIM11"
"21","TRIM17"
"22","USP6"
"23","ZBTB7B"
"24","ZNF428"
"25","ZNF710"
