"","HuAgeGBsplit_24....PSVZbyQSVZ__"
"1","AARD"
"2","ACAN"
"3","ARX"
"4","CACNA1B"
"5","CDCA7"
"6","COL5A2"
"7","DCX"
"8","DLX1"
"9","DLX2"
"10","DLX5"
"11","EPCAM"
"12","FGD5"
"13","LHFPL5"
"14","METAP1D"
"15","MKRN3"
"16","MOK"
"17","NEUROG2"
"18","OSCAR"
"19","PCSK5"
"20","PDLIM1"
"21","PDZRN4"
"22","PRX"
"23","SP8"
"24","SYT17"
"25","TCF15"
"26","TERT"
"27","UBE3A"
"28","WNT2B"
