"","skyblue....QGBObyPGBO__"
"1","AC008443.3"
"2","AC018558.1"
"3","AC023141.12"
"4","AC025254.1"
"5","AC073578.4"
"6","AC104581.1"
"7","AC114341.1"
"8","AC126175.1"
"9","AC237221.2"
"10","AF186192.3"
"11","AL590762.2"
"12","AP000253.1"
"13","AP001065.1"
"14","DNM1P35"
"15","FCRLA"
"16","FZD9"
"17","KCNJ9"
"18","OR52A1"
"19","OR6D1P"
"20","PABPC1P4"
"21","PCMTD1P1"
"22","PRDX1P1"
"23","RN7SL58P"
"24","SNAPC2"
"25","SNX18P25"
"26","THRA"
