"","HuAgeGBsplit_20....QGBObyPGBO__"
"1","AC004817.3"
"2","AC005410.1"
"3","AC026464.3"
"4","AL445670.1"
"5","AL589765.7"
"6","C9orf116"
"7","CFAP36"
"8","DNAH11"
"9","FAM220CP"
"10","LINC00354"
"11","LINC01058"
"12","LINC02265"
"13","MAPK15"
"14","PPIAP58"
"15","PPIAP72"
"16","PPIAP9"
"17","RN7SKP213"
"18","RPS3AP25"
"19","SHF"
