"","HuAgeGBsplit_01....QGBObyPGBO__"
"1","ABHD10"
"2","AC002451.2"
"3","AC002524.1"
"4","AC004801.7"
"5","AC004847.1"
"6","AC004910.1"
"7","AC004982.2"
"8","AC005332.8"
"9","AC005479.2"
"10","AC005695.3"
"11","AC005899.7"
"12","AC006023.1"
"13","AC006378.2"
"14","AC006946.2"
"15","AC006946.3"
"16","AC007215.1"
"17","AC007318.1"
"18","AC007318.2"
"19","AC007450.3"
"20","AC007969.1"
"21","AC007998.4"
"22","AC008066.1"
"23","AC008072.1"
"24","AC008154.2"
"25","AC008494.2"
"26","AC008507.3"
"27","AC008543.4"
"28","AC008549.2"
"29","AC009005.1"
"30","AC009088.1"
"31","AC009127.2"
"32","AC009159.4"
"33","AC009275.1"
"34","AC009432.1"
"35","AC009533.2"
"36","AC009831.4"
"37","AC009967.1"
"38","AC010207.1"
"39","AC010326.1"
"40","AC010329.1"
"41","AC010595.1"
"42","AC010904.2"
"43","AC010969.2"
"44","AC011374.2"
"45","AC011468.4"
"46","AC011495.1"
"47","AC011912.1"
"48","AC012640.5"
"49","AC015726.2"
"50","AC015813.4"
"51","AC015819.1"
"52","AC015912.2"
"53","AC016405.2"
"54","AC016876.1"
"55","AC018553.2"
"56","AC018641.1"
"57","AC018695.7"
"58","AC019109.1"
"59","AC019193.2"
"60","AC019322.4"
"61","AC020604.1"
"62","AC021016.2"
"63","AC022417.1"
"64","AC024560.3"
"65","AC025035.1"
"66","AC025166.1"
"67","AC025754.2"
"68","AC027338.1"
"69","AC027688.2"
"70","AC034229.1"
"71","AC037459.2"
"72","AC055764.2"
"73","AC060814.3"
"74","AC063943.1"
"75","AC066615.1"
"76","AC067838.1"
"77","AC068448.1"
"78","AC068944.1"
"79","AC073314.1"
"80","AC074143.1"
"81","AC078880.4"
"82","AC079054.1"
"83","AC079598.1"
"84","AC079922.1"
"85","AC079949.1"
"86","AC080011.1"
"87","AC080013.6"
"88","AC080038.2"
"89","AC083873.1"
"90","AC084033.1"
