"","darkgrey....QGBObyPGBO__"
"1","AC004023.1"
"2","AC025175.1"
"3","AC025262.2"
"4","AC113145.1"
"5","AL024507.2"
"6","AL031123.2"
"7","AL162311.3"
"8","AL603750.1"
"9","ARX"
"10","DLX5"
"11","GMPR"
"12","GRIP2"
"13","LGALS1"
"14","LINC01563"
"15","LINC01694"
"16","PDLIM1"
"17","PDZRN3"
"18","PPIAP21"
"19","PPIAP48"
"20","PRDX1"
"21","PROC"
"22","RASD2"
"23","SP9"
"24","STAT5A"
"25","SYDE2"
"26","TMPRSS9"
"27","WFDC2"
