"","saddlebrown....NSCbyNPC__"
"1","ARHGAP25"
"2","C16orf54"
"3","C5AR2"
"4","CASS4"
"5","CCL7"
"6","CCRL2"
"7","CSF2RB"
"8","CSF3R"
"9","CSTA"
"10","IL10"
"11","IRAK2"
"12","LPXN"
"13","NECTIN4"
"14","PLEK"
"15","RHOH"
"16","S1PR4"
"17","SCARF1"
"18","SLAMF9"
"19","SLC16A10"
"20","SLC25A37"
"21","SLC43A2"
"22","TNFAIP8"
