"","blue....TAPbyQNP__"
"1","AACS"
"2","AAGAB"
"3","AAK1"
"4","ABCB9"
"5","ABCD2"
"6","ABCE1"
"7","ABCF3"
"8","ABHD18"
"9","ABRACL"
"10","ACAA1"
"11","ACAT2"
"12","ACOT7"
"13","ACSL1"
"14","ACSL4"
"15","ACTL6A"
"16","ACTR3"
"17","ACTR8"
"18","ADAM23"
"19","ADAT1"
"20","ADAT2"
"21","ADGRA3"
"22","ADH5"
"23","ADHFE1"
"24","ADNP2"
"25","AEBP2"
"26","AFF1"
"27","AFG3L2"
"28","AGPAT5"
"29","AGRN"
"30","AHCYL1"
"31","AIFM1"
"32","AIG1"
"33","AKAP7"
"34","AKR1E2"
"35","ALDH2"
"36","AMD1"
"37","AMIGO1"
"38","AMPD2"
"39","ANAPC4"
"40","ANK2"
"41","ANKRD37"
"42","ANLN"
"43","AP1AR"
"44","AP1G2"
"45","AP2M1"
"46","AP4B1"
"47","AP4E1"
"48","APBB2"
"49","APC2"
"50","APEX2"
"51","APLF"
"52","APOLD1"
"53","ARAP2"
"54","ARFIP1"
"55","ARGLU1"
"56","ARHGEF26"
"57","ARID1B"
"58","ARIH2"
"59","ARL4A"
"60","ARMC8"
"61","ARMCX2"
"62","ARMCX4"
"63","ARMT1"
"64","ARNT"
"65","ARV1"
"66","ASB3"
"67","ASCC3"
"68","ASTE1"
"69","ASXL2"
"70","ATF6"
"71","ATF7IP"
"72","ATG7"
"73","ATM"
"74","ATP10D"
"75","ATP11B"
"76","ATP2C1"
"77","ATP6V0A2"
"78","ATP8A1"
"79","ATR"
"80","ATRIP"
"81","ATXN7L2"
"82","AZI2"
"83","B3GALNT1"
"84","B4GALT2"
"85","BAHD1"
"86","BAP1"
"87","BCAN"
"88","BCAR1"
"89","BCAS1"
"90","BCAS2"
"91","BCDIN3D"
"92","BCOR"
"93","BCS1L"
"94","BDH2"
"95","BEX2"
"96","BEX3"
"97","BHLHB9"
"98","BIN1"
"99","BOLA1"
"100","BRI3BP"
"101","BRSK1"
"102","BTD"
"103","BZW2"
"104","C12orf65"
"105","C12orf66"
"106","C16orf87"
"107","C18orf54"
"108","C1GALT1C1"
"109","C1orf122"
"110","C1orf159"
"111","C1orf174"
"112","C4orf3"
"113","C6orf120"
"114","C6orf58"
"115","CACNG7"
"116","CACNG8"
"117","CAMK2N1"
"118","CAMSAP2"
"119","CAPN6"
"120","CAPN7"
"121","CARMIL1"
"122","CASP3"
"123","CAV1"
"124","CCDC106"
"125","CCDC124"
"126","CCDC159"
"127","CCDC174"
"128","CCDC50"
"129","CCDC62"
"130","CCDC66"
"131","CCDC77"
"132","CCDC88A"
"133","CCDC92"
"134","CCNG2"
"135","CCNL2"
"136","CDC14C"
"137","CDC25A"
"138","CDC42SE1"
"139","CDH24"
"140","CDK10"
"141","CDK11B"
"142","CDK19"
"143","CDK2AP1"
"144","CELSR2"
"145","CENPA"
"146","CENPC"
"147","CENPL"
"148","CENPV"
"149","CEP162"
"150","CEP350"
"151","CEP44"
"152","CEP57L1"
"153","CEP68"
"154","CEP70"
"155","CEPT1"
"156","CFAP97"
"157","CGNL1"
"158","CHPT1"
"159","CHST3"
"160","CIAPIN1"
"161","CISD2"
"162","CITED1"
"163","CLCN3"
"164","CLSTN1"
"165","CMTR2"
"166","CNBP"
"167","CNOT10"
"168","CNOT3"
"169","CNOT6L"
"170","CNRIP1"
"171","CNTN1"
"172","COL16A1"
"173","COLGALT2"
"174","COPS9"
"175","COQ2"
"176","COQ3"
"177","COX18"
"178","CPEB2"
"179","CREB1"
"180","CREB3L1"
"181","CREBL2"
"182","CREM"
"183","CRTAP"
"184","CRYZ"
"185","CSGALNACT1"
"186","CSPG4"
"187","CTDSPL"
"188","CTH"
"189","CTNNBIP1"
"190","CTPS1"
"191","CUL4B"
"192","CXXC4"
"193","CYB5B"
"194","CYLD"
"195","CYP20A1"
"196","DAP3"
"197","DARS2"
"198","DAZAP1"
"199","DCAF1"
"200","DCAF13"
"201","DCK"
"202","DCP1A"
"203","DCTN1"
"204","DDN"
"205","DDX18"
"206","DDX39A"
"207","DECR1"
"208","DEF8"
"209","DENND6A"
"210","DENR"
"211","DERA"
"212","DERL3"
"213","DESI2"
"214","DGKQ"
"215","DGUOK"
"216","DHODH"
"217","DHX15"
"218","DHX30"
"219","DHX36"
"220","DHX37"
"221","DISP1"
"222","DLL1"
"223","DNAJB11"
"224","DNAJC13"
"225","DNAJC14"
"226","DNASE1L1"
"227","DNM1"
"228","DNPEP"
"229","DOHH"
"230","DPH3"
"231","DPM3"
"232","DPY19L1"
"233","DPY30"
"234","DRAM2"
"235","DUSP19"
"236","DVL1"
"237","DVL3"
"238","DYNC1LI1"
"239","DYNLL1"
"240","E2F3"
"241","EBP"
"242","ECI2"
"243","EDEM3"
"244","EIF1AX"
"245","EIF2AK3"
"246","EIF2B1"
"247","EIF4E"
"248","EIF4E3"
"249","EIF4G1"
"250","EIF4G3"
"251","EIF5A2"
"252","ELK4"
"253","ELL2"
"254","ELMOD2"
"255","ELOVL5"
"256","ELOVL6"
"257","ELP2"
"258","ENC1"
"259","ENPP1"
"260","ENPP4"
"261","EPB41L5"
"262","EPM2A"
"263","EPM2AIP1"
"264","EPN1"
"265","EPS8"
"266","ERI1"
"267","ETAA1"
"268","ETFDH"
"269","ETS1"
"270","EXOC3L1"
"271","EXOSC10"
"272","EXOSC7"
"273","EXTL2"
"274","F3"
"275","FAM114A1"
"276","FAM126A"
"277","FAM136A"
"278","FAM149A"
"279","FAM171B"
"280","FAM189B"
"281","FAM210A"
"282","FAM214A"
"283","FAM241B"
"284","FAM49A"
"285","FAM83D"
"286","FANCB"
"287","FANCD2"
"288","FARSB"
"289","FASTKD1"
