"","turquoise....PSVZbyQSVZ__"
"1","AAAS"
"2","AAMP"
"3","ABCC1"
"4","ABCF1"
"5","ABHD2"
"6","ABT1"
"7","ACAD10"
"8","ACADS"
"9","ACBD3"
"10","ACSF3"
"11","ACTR2"
"12","ACVR2B"
"13","ADA"
"14","ADAM9"
"15","ADCK5"
"16","ADCY3"
"17","ADCY6"
"18","ADPRHL2"
"19","AEN"
"20","AGAP1"
"21","AGO1"
"22","AGO2"
"23","AHCTF1"
"24","AKAP8L"
"25","AKIRIN2"
"26","AKT3"
"27","ALAS1"
"28","ALDH16A1"
"29","ALG8"
"30","ALKBH2"
"31","AMMECR1L"
"32","AMOT"
"33","ANAPC13"
"34","ANAPC5"
"35","ANGEL2"
"36","ANGPTL6"
"37","ANKLE1"
"38","ANKRD11"
"39","ANKRD13A"
"40","ANKRD44"
"41","ANKRD52"
"42","ANKS1A"
"43","ANKS3"
"44","ANP32A"
"45","AP1G1"
"46","AP2B1"
"47","AP2S1"
"48","AP3S2"
"49","APAF1"
"50","APPL1"
"51","ARAP3"
"52","ARFGEF1"
"53","ARHGAP17"
"54","ARHGAP27"
"55","ARHGAP39"
"56","ARHGEF2"
"57","ARID1A"
"58","ARID2"
"59","ARID4B"
"60","ARIH1"
"61","ARL4C"
"62","ARL4D"
"63","ARL5A"
"64","ARL6IP6"
"65","ARPC2"
"66","ASAP1"
"67","ASB8"
"68","ASH2L"
"69","ASNA1"
"70","ASNSD1"
"71","ATF1"
"72","ATF2"
"73","ATG16L1"
"74","ATP13A3"
"75","ATP5F1B"
"76","ATP5ME"
"77","ATP8B2"
"78","ATXN7L3B"
"79","AXIN1"
"80","AXIN2"
"81","AZIN1"
"82","BAG2"
"83","BAG6"
"84","BANP"
"85","BAZ2A"
"86","BCL10"
"87","BCL7A"
"88","BCL7C"
"89","BCLAF1"
"90","BEST1"
"91","BLOC1S4"
"92","BLVRB"
"93","BOK"
"94","BOLA2B"
"95","BOP1"
"96","BRAP"
"97","BRD2"
"98","BRF2"
"99","BRIX1"
"100","BRWD3"
"101","BTF3L4"
"102","BYSL"
"103","BZW1"
"104","C11orf95"
"105","C12orf10"
"106","C12orf45"
"107","C12orf49"
"108","C12orf73"
"109","C16orf91"
"110","C19orf24"
"111","C19orf53"
"112","C1D"
"113","C1orf131"
"114","C1orf43"
"115","C1orf53"
"116","C1QBP"
"117","C2CD5"
"118","C2orf40"
"119","C3orf70"
"120","C4orf48"
"121","C6orf226"
"122","C6orf62"
"123","C8orf33"
"124","C8orf76"
"125","CAB39"
"126","CACNB3"
"127","CACNG5"
"128","CACYBP"
"129","CAMTA1"
"130","CAND1"
"131","CARM1"
"132","CASP8AP2"
"133","CBX2"
"134","CBX5"
"135","CC2D1A"
"136","CCDC115"
"137","CCDC120"
"138","CCDC130"
"139","CCDC149"
"140","CCDC59"
"141","CCDC61"
"142","CCDC71"
"143","CCDC9"
"144","CCL21"
"145","CCND2"
"146","CCNYL1"
"147","CCSAP"
"148","CCT2"
"149","CCT3"
"150","CCT4"
"151","CCT7"
"152","CD276"
"153","CD2BP2"
"154","CDC14A"
"155","CDC37"
"156","CDC42EP2"
"157","CDC5L"
"158","CDH4"
"159","CDH7"
"160","CDK4"
"161","CDKAL1"
"162","CDKN1A"
"163","CDKN1C"
"164","CDON"
"165","CEBPA"
"166","CEBPZ"
"167","CENPT"
"168","CEP170"
"169","CEP192"
"170","CEP63"
"171","CERS6"
"172","CFDP1"
"173","CHD2"
"174","CHD4"
"175","CHD7"
"176","CHFR"
"177","CHMP1A"
"178","CHRAC1"
"179","CHTF18"
"180","CHTOP"
"181","CIAO1"
"182","CISD1"
"183","CIT"
"184","CKS1B"
"185","CLHC1"
"186","CLK2"
"187","CLK3"
"188","CLP1"
"189","CLUAP1"
"190","CMPK1"
"191","CNIH3"
"192","CNOT1"
"193","CNTROB"
"194","COA5"
"195","COL11A1"
"196","COMMD2"
"197","COPE"
"198","COPS2"
"199","COPS7A"
"200","COPS7B"
"201","COPS8"
"202","COQ7"
"203","CORO1C"
"204","COTL1"
"205","COX7A2L"
"206","CPLX2"
"207","CPSF6"
"208","CRADD"
"209","CRK"
"210","CRMP1"
"211","CRTC1"
"212","CRYBA4"
"213","CRYBB1"
"214","CSDE1"
"215","CSK"
"216","CSNK1G2"
"217","CSNK2A2"
"218","CTBP1"
"219","CTC1"
"220","CTCF"
"221","CTDNEP1"
"222","CTDP1"
"223","CTDSP2"
"224","CTDSPL2"
"225","CUL7"
"226","CUL9"
"227","CWC22"
"228","CXorf38"
"229","CXorf56"
"230","CXXC1"
"231","CYB5R1"
"232","CYP39A1"
"233","CYTH2"
"234","DAPK3"
"235","DAXX"
"236","DBNDD1"
"237","DCAF15"
"238","DCLK3"
"239","DCLRE1B"
"240","DDAH2"
"241","DDIT3"
"242","DDX11"
"243","DDX19A"
"244","DDX3X"
"245","DDX59"
"246","DDX6"
"247","DENND5B"
"248","DET1"
"249","DGKD"
"250","DHDDS"
"251","DHX34"
"252","DHX9"
"253","DIS3L"
