"","white....PGBObyQGBO__"
"1","AC012512.1"
"2","AL109918.1"
"3","AL590428.1"
"4","CD109"
"5","ESYT3"
"6","GJC3"
"7","ITGA6"
"8","LINC01711"
"9","LSMEM1"
"10","MAFB"
"11","MILR1"
"12","MIR548AY"
"13","MPZ"
"14","NOV"
"15","PPL"
"16","PTPRH"
"17","QRICH2"
"18","RASAL2-AS1"
"19","RBMS1"
"20","RPL31P63"
"21","SERPINE2"
"22","SLC20A1"
"23","SLC26A2"
"24","SOD3"
"25","SPHK1"
"26","STX3"
"27","UTRN"
