"","skyblue....QGBCbyPGBC__"
"1","AC008443.3"
"2","AC073578.4"
"3","AC126175.1"
"4","AC126915.2"
"5","AF186192.3"
"6","AL139352.1"
"7","AP000253.1"
"8","C20orf204"
"9","CDIPT-AS1"
"10","CHRNE"
"11","EFHD1"
"12","FOXL2"
"13","FZD9"
"14","KCNJ9"
"15","LINC01687"
"16","ODF3L2"
"17","OR52A1"
"18","PPM1J"
"19","RASIP1"
"20","RNASE10"
"21","SLC6A10P"
"22","THRA"
