"","magenta....QSVZbyPSVZ__"
"1","ABCB1"
"2","ABLIM2"
"3","ACAP2"
"4","ADAMTSL4"
"5","AGO4"
"6","AKAP13"
"7","C1orf198"
"8","C1orf54"
"9","C2orf49"
"10","CADM2"
"11","CAMK2B"
"12","CAMK2G"
"13","CAPN9"
"14","CDIP1"
"15","CLIC6"
"16","COX6B2"
"17","CPQ"
"18","CPT2"
"19","DARS"
"20","DCAF6"
"21","DGKB"
"22","DNAJB9"
"23","DUSP22"
"24","EPS15"
"25","ESPN"
"26","FICD"
"27","FSD2"
"28","FUOM"
"29","GALT"
"30","HS3ST3A1"
"31","ICA1"
"32","INSR"
"33","ITPKB"
"34","ITSN2"
"35","KIAA0319L"
"36","LPAR1"
"37","LPP"
"38","MINK1"
"39","NCKAP5"
"40","NLGN1"
"41","NPAS3"
"42","NRIP3"
"43","NSMCE1"
"44","PACRG"
"45","PLD2"
"46","PPCDC"
"47","PRR5L"
"48","PSD2"
"49","RREB1"
"50","SERP1"
"51","SLC1A1"
"52","SLC3A2"
"53","SRY"
"54","ST6GAL1"
"55","THPO"
"56","TMED5"
"57","TPST2"
"58","UBXN4"
"59","USP6"
"60","WFS1"
"61","ZBTB7B"
