"","pink....QNPbyTAP__"
"1","BCKDK"
"2","BTG2"
"3","CCNJL"
"4","CDR2L"
"5","CSRNP1"
"6","EEF2K"
"7","EGR1"
"8","ELL"
"9","FOS"
"10","GADD45B"
"11","HBEGF"
"12","HOMER3"
"13","IER3"
"14","JUN"
"15","LRCH1"
"16","LRRC46"
"17","MGAT4A"
"18","NFKBID"
"19","NSF"
"20","OTUD1"
"21","P2RX4"
"22","PRKCB"
"23","RAPGEF6"
"24","RBFOX3"
"25","RPS6KA4"
"26","SLC36A1"
"27","TNK1"
"28","TPM4"
"29","UBASH3B"
"30","ZFP36"
