"","HuAgeGBsplit_09....PSVZbyQSVZ__"
"1","ACSM5"
"2","ADAMTS3"
"3","ADAMTS6"
"4","ALG14"
"5","ANKRD6"
"6","AP5B1"
"7","ARPC3"
"8","BASP1"
"9","C16orf96"
"10","ELAVL4"
"11","FAM174B"
"12","GLCCI1"
"13","HMGA1"
"14","HMGCL"
"15","HMGN5"
"16","JADE3"
"17","KCNQ4"
"18","MAPT"
"19","MGARP"
"20","MTERF1"
"21","NRDC"
"22","OTX2"
"23","PCBP3"
"24","RNF4"
"25","SPAST"
"26","STK3"
"27","UFC1"
"28","URGCP"
"29","YTHDF2"
"30","ZBTB20"
"31","ZFYVE28"
"32","ZNF428"
"33","ZRANB3"
