"","green....QGBObyPGBO__"
"1","AC004941.1"
"2","AC004990.1"
"3","AC008278.1"
"4","AC011416.2"
"5","AC011592.1"
"6","AC073342.2"
"7","AC105760.1"
"8","AL023806.3"
"9","AL353795.3"
"10","AL591926.6"
"11","COX7A2"
"12","CUTA"
"13","HNRNPA1P61"
"14","LINC02245"
"15","MIR668"
"16","RN7SKP112"
"17","RNA5SP103"
"18","RPL36AP26"
"19","TAS2R39"
"20","TUBA1A"
