"","saddlebrown....PGBCbyQGBC__"
"1","AC003035.2"
"2","AC003092.2"
"3","AC009630.1"
"4","AC116021.1"
"5","BST1"
"6","C5AR2"
"7","CCL20"
"8","CCL7"
"9","CSF2"
"10","CSTA"
"11","CYB5R4"
"12","DBI"
"13","DGAT2"
"14","DPYD"
"15","FABP5P1"
"16","GK"
"17","HLA-G"
"18","IL11"
"19","IL1R1"
"20","IL6"
"21","ITGAX"
"22","LINC01270"
"23","LINC01583"
"24","PI3"
"25","PTGER2"
"26","RPL21P131"
"27","SLC25A37"
"28","SLC39A8"
"29","SLC43A2"
"30","SPINK1"
"31","TBC1D2"
"32","TNFAIP8"
"33","VDR"
"34","ZNF267"
