"","steelblue....QNPbyTAP__"
"1","ARHGEF39"
"2","ARSA"
"3","AURKB"
"4","BRCA1"
"5","C17orf53"
"6","CDC6"
"7","CEP55"
"8","CHAF1B"
"9","CIP2A"
"10","FANCI"
"11","GMFG"
"12","HMGB2"
"13","HMMR"
"14","KIF11"
"15","KIF18B"
"16","KIF20B"
"17","MKI67"
"18","NUDT16"
"19","PIMREG"
"20","PLK1"
"21","POLQ"
"22","PYCARD"
"23","TOP2A"
"24","TUBB6"
