"","HuAgeGBsplit_16....NSCbyNPC__"
"1","BARD1"
"2","CCNF"
"3","DENND2C"
"4","ELF4"
"5","FANCL"
"6","GAS6"
"7","IRS2"
"8","KMT5C"
"9","LACC1"
"10","LIG4"
"11","MSH2"
"12","PASK"
"13","PIDD1"
"14","PNP"
"15","PPP1R17"
"16","RASA3"
"17","SOWAHA"
"18","SPRR4"
"19","SYNE2"
"20","TAF1L"
"21","TFDP1"
"22","TUBGCP3"
"23","VRK2"
"24","WDR7"
"25","XKR5"
"26","XRCC3"
