"","HuAgeGBsplit_01....QSVZbyPSVZ__"
"1","A2M"
"2","AATK"
"3","ABAT"
"4","ABCB10"
"5","ABCC9"
"6","ABCD3"
"7","ABHD3"
"8","ABHD6"
"9","ABHD8"
"10","ABI2"
"11","ABL2"
"12","ABR"
"13","ACACB"
"14","ACADM"
"15","ACADVL"
"16","ACOT11"
"17","ACOT13"
"18","ACOX3"
"19","ACTR3C"
"20","ACVR1"
"21","ACVR2A"
"22","ACYP2"
"23","ADAL"
"24","ADAM17"
"25","ADAMTS10"
"26","ADAMTS4"
"27","ADCY9"
"28","ADD1"
"29","ADIPOR1"
"30","ADIPOR2"
"31","ADRA2A"
"32","AGFG1"
"33","AGL"
"34","AGO3"
"35","AGPAT4"
"36","AGT"
"37","AIFM3"
"38","AKAP8"
"39","AKAP9"
"40","AKTIP"
"41","ALDH3A2"
"42","ALDH5A1"
"43","ALDH9A1"
"44","ALKBH7"
"45","ALPL"
"46","AMFR"
"47","AMN1"
"48","ANKFY1"
"49","ANKH"
"50","ANKRD12"
"51","ANKRD29"
"52","ANKRD45"
"53","ANKRD46"
"54","ANKZF1"
"55","AOX1"
"56","AP3D1"
"57","AP3M2"
"58","APEH"
"59","APH1A"
"60","APH1B"
"61","APOC1"
"62","APOE"
"63","APOO"
"64","APPL2"
"65","ARHGEF11"
"66","ARHGEF25"
"67","ARHGEF5"
"68","ARL8A"
"69","ARNT2"
"70","ARPC5"
"71","ARRB1"
"72","ASAH1"
"73","ASAP2"
"74","ASB4"
"75","ASH1L"
"76","ATAT1"
"77","ATG101"
"78","ATG16L2"
"79","ATG4B"
"80","ATG4C"
"81","ATL2"
"82","ATN1"
"83","ATP13A1"
"84","ATP13A2"
"85","ATP1A1"
"86","ATP1A2"
"87","ATP1B1"
"88","ATP1B2"
"89","ATP2A2"
"90","ATP2B1"
"91","ATP6AP1"
"92","ATP6V0B"
"93","ATP6V0E2"
"94","ATP6V1B2"
"95","ATP6V1C1"
"96","ATP6V1G2"
"97","ATXN1"
"98","ATXN2"
"99","AUP1"
"100","B4GALNT1"
"101","BAALC"
"102","BBS4"
"103","BCAR3"
"104","BCAT2"
"105","BCL2"
"106","BCL9"
"107","BEND6"
"108","BFAR"
"109","BICD1"
"110","BMP1"
"111","BMP2K"
"112","BPNT1"
"113","BRINP1"
"114","BSDC1"
"115","BTBD11"
"116","C11orf24"
"117","C12orf29"
"118","C12orf43"
"119","C16orf58"
"120","C16orf70"
"121","C18orf21"
"122","C18orf32"
"123","C1GALT1"
"124","C1orf52"
"125","C1QL3"
"126","C21orf91"
"127","C2orf42"
"128","C2orf69"
"129","C3orf62"
"130","C8orf58"
"131","C8orf82"
"132","CA8"
"133","CABLES1"
"134","CACHD1"
"135","CADM4"
"136","CALCOCO1"
"137","CALR"
"138","CAMKK2"
"139","CAMKV"
"140","CAMTA2"
"141","CAPN15"
"142","CAPN2"
"143","CARNS1"
"144","CASC4"
"145","CATSPER2"
"146","CBSL"
"147","CBX4"
"148","CC2D1B"
"149","CCAR2"
"150","CCDC113"
"151","CCDC136"
"152","CCDC141"
"153","CCDC25"
"154","CCDC28A"
"155","CCDC32"
"156","CCDC74B"
"157","CCNG1"
"158","CCNT2"
"159","CCS"
"160","CD160"
"161","CD320"
"162","CD9"
"163","CD99L2"
"164","CDC34"
"165","CDC42BPA"
"166","CDH10"
"167","CDH19"
"168","CDIPT"
"169","CDK17"
"170","CDK18"
"171","CDYL"
"172","CEBPB"
"173","CEBPD"
"174","CEP290"
"175","CEP83"
"176","CEP85"
"177","CERS4"
"178","CERS5"
"179","CHCHD5"
"180","CHD9"
"181","CHGB"
"182","CHM"
"183","CHMP2A"
"184","CHST10"
"185","CHST11"
"186","CHST14"
"187","CIB2"
