"","turquoise....PGBObyQGBO__"
"1","A2M"
"2","ABCA4"
"3","ABHD2"
"4","AC002384.1"
"5","AC002451.1"
"6","AC003084.1"
"7","AC004233.4"
"8","AC004812.2"
"9","AC004816.2"
"10","AC004854.1"
"11","AC004865.2"
"12","AC005180.2"
"13","AC005261.5"
"14","AC005332.1"
"15","AC005822.1"
"16","AC006273.1"
"17","AC006987.1"
"18","AC007613.1"
"19","AC007823.1"
"20","AC008507.1"
"21","AC008555.8"
"22","AC009812.1"
"23","AC010186.3"
"24","AC010245.2"
"25","AC010615.1"
"26","AC012254.3"
"27","AC016700.2"
"28","AC017071.1"
"29","AC017100.1"
"30","AC020916.1"
"31","AC022400.4"
"32","AC023762.1"
"33","AC024937.2"
"34","AC025176.1"
"35","AC025423.3"
"36","AC025594.3"
"37","AC026150.1"
"38","AC026979.3"
"39","AC037450.1"
"40","AC060834.1"
"41","AC067747.1"
"42","AC068831.1"
"43","AC069213.3"
"44","AC069234.5"
"45","AC073046.1"
"46","AC073130.3"
"47","AC073611.1"
"48","AC074134.1"
"49","AC078993.1"
"50","AC079780.1"
"51","AC079807.1"
"52","AC080080.1"
"53","AC083843.3"
"54","AC087239.1"
"55","AC087741.2"
"56","AC090192.1"
"57","AC090589.1"
"58","AC091917.3"
"59","AC091953.5"
"60","AC092171.3"
"61","AC092171.4"
"62","AC092171.5"
"63","AC092375.2"
"64","AC092653.2"
"65","AC092919.2"
"66","AC093458.2"
"67","AC099518.4"
"68","AC099522.2"
"69","AC099791.2"
"70","AC100814.1"
"71","AC100827.5"
"72","AC103760.1"
"73","AC103778.1"
"74","AC103923.1"
"75","AC104118.1"
"76","AC104187.1"
"77","AC104333.3"
"78","AC108475.1"
"79","AC109322.1"
"80","AC109454.4"
"81","AC113191.1"
"82","AC114684.1"
"83","AC117402.1"
"84","AC123912.1"
"85","AC126614.1"
"86","AC132938.1"
"87","AC133134.1"
"88","AC133528.1"
"89","AC133552.2"
"90","AC135586.2"
"91","AC138393.2"
"92","AC141557.1"
"93","AC239804.1"
"94","AC245014.1"
"95","AC245140.3"
"96","AC245452.2"
"97","ACAP1"
"98","ADAM11"
"99","ADRA2A"
"100","ADRB2"
"101","AEBP1"
"102","AF131216.2"
"103","AGAP2"
"104","AL008707.1"
"105","AL022324.2"
"106","AL022328.4"
"107","AL022334.2"
"108","AL023806.1"
"109","AL049796.1"
"110","AL109741.2"
"111","AL109976.1"
"112","AL132640.3"
"113","AL133551.1"
"114","AL136162.1"
"115","AL136968.1"
"116","AL137003.2"
"117","AL137845.2"
"118","AL137918.1"
"119","AL138688.2"
"120","AL138820.1"
"121","AL139161.1"
"122","AL157400.3"
"123","AL160175.1"
"124","AL161658.1"
"125","AL354702.1"
"126","AL354872.2"
"127","AL365203.2"
"128","AL365400.2"
"129","AL390955.1"
"130","AL391422.1"
"131","AL391422.3"
"132","AL391497.1"
"133","AL391811.1"
"134","AL451107.1"
"135","AL512303.1"
"136","AL512343.2"
"137","AL513548.1"
"138","AL513550.1"
"139","AL590004.4"
"140","AL590135.1"
