"","turquoise....PGBCbyQGBC__"
"1","AAMP"
"2","ABAT"
"3","ABCB10"
"4","ABCC1"
"5","ABCC10"
"6","ABCD3"
"7","ABCF1"
"8","ABHD10"
"9","ABHD3"
"10","ABL2"
"11","ABT1"
"12","AC000403.1"
"13","AC002347.1"
"14","AC002524.1"
"15","AC003035.1"
"16","AC004233.4"
"17","AC004775.1"
"18","AC005034.4"
"19","AC005102.1"
"20","AC005180.1"
"21","AC005180.2"
"22","AC005695.3"
"23","AC005722.2"
"24","AC005722.3"
"25","AC006023.2"
"26","AC006065.1"
"27","AC007250.1"
"28","AC007318.1"
"29","AC007344.1"
"30","AC007490.1"
"31","AC007969.2"
"32","AC008066.1"
"33","AC008507.1"
"34","AC008507.2"
"35","AC008543.1"
"36","AC008555.8"
"37","AC009005.1"
"38","AC009086.3"
"39","AC009110.1"
"40","AC009237.14"
"41","AC009237.3"
"42","AC009237.8"
"43","AC009506.1"
"44","AC009533.1"
"45","AC009962.1"
"46","AC009974.1"
"47","AC010186.3"
"48","AC010457.1"
"49","AC010969.2"
"50","AC011451.1"
"51","AC011468.4"
"52","AC012513.3"
"53","AC012640.5"
"54","AC013643.3"
"55","AC013724.1"
"56","AC015726.1"
"57","AC015819.1"
"58","AC016405.2"
"59","AC017100.1"
"60","AC018521.5"
"61","AC018553.1"
"62","AC018904.1"
"63","AC019069.1"
"64","AC020905.1"
"65","AC021231.2"
"66","AC021851.1"
"67","AC023043.3"
"68","AC023232.1"
"69","AC023310.4"
"70","AC025062.1"
"71","AC025166.1"
"72","AC025176.1"
"73","AC025449.1"
"74","AC025475.1"
"75","AC026410.2"
"76","AC026979.3"
"77","AC027338.1"
"78","AC036176.1"
"79","AC037459.2"
"80","AC037487.4"
"81","AC040169.1"
"82","AC062028.2"
"83","AC063943.1"
"84","AC067838.1"
"85","AC067930.4"
"86","AC069234.5"
"87","AC073046.1"
"88","AC073254.1"
"89","AC073370.1"
"90","AC073621.1"
"91","AC073911.3"
"92","AC074044.1"
"93","AC078880.3"
"94","AC078880.5"
"95","AC079780.1"
"96","AC079907.1"
"97","AC079949.1"
"98","AC079949.2"
"99","AC080013.6"
"100","AC080038.1"
"101","AC080038.2"
"102","AC083843.3"
"103","AC083843.4"
"104","AC083873.1"
"105","AC084757.4"
"106","AC087203.3"
"107","AC087683.1"
"108","AC090186.1"
"109","AC090204.1"
"110","AC090506.2"
"111","AC090589.1"
"112","AC090772.3"
"113","AC091305.1"
"114","AC092115.1"
"115","AC092171.3"
"116","AC092171.5"
"117","AC092354.1"
"118","AC092354.2"
"119","AC092593.2"
"120","AC092685.1"
"121","AC092810.1"
"122","AC092810.3"
"123","AC092919.2"
"124","AC093107.2"
"125","AC093426.1"
"126","AC093789.1"
"127","AC093909.1"
"128","AC093909.6"
"129","AC097461.1"
"130","AC097641.1"
"131","AC097713.1"
"132","AC098820.1"
"133","AC098934.1"
"134","AC099518.4"
"135","AC099560.2"
"136","AC100771.1"
"137","AC100814.1"
"138","AC100821.2"
"139","AC103923.1"
"140","AC104113.1"
"141","AC104118.1"
"142","AC104561.1"
"143","AC107918.3"
"144","AC108475.1"
"145","AC108488.2"
"146","AC110597.1"
"147","AC113191.1"
"148","AC114810.1"
"149","AC115618.2"
"150","AC117402.1"
"151","AC118549.1"
"152","AC122710.3"
"153","AC124016.2"
"154","AC124068.2"
"155","AC128688.2"
"156","AC129492.5"
"157","AC133134.1"
"158","AC133528.1"
"159","AC135803.1"
"160","AC138207.2"
"161","AC138356.3"
"162","AC140113.2"
"163","AC141557.1"
"164","AC141557.2"
"165","AC145124.1"
"166","AC145207.5"
"167","AC234782.4"
"168","AC239804.1"
"169","AC244090.3"
"170","AC244255.1"
"171","AC245100.3"
"172","AC245140.3"
"173","ACADM"
"174","ACBD3"
"175","ACD"
"176","ACOT13"
"177","ACP1"
"178","ACTR2"
"179","ACVR1"
"180","ACVR2A"
"181","ADAM10"
"182","ADAM17"
"183","ADAM9"
"184","ADAMTS10"
"185","ADCK5"
"186","ADCY3"
"187","ADD1"
"188","ADGRA2"
"189","ADI1"
"190","ADIPOR2"
"191","ADPGK"
"192","ADPRHL2"
"193","AEBP1"
"194","AF201337.1"
"195","AGFG1"
"196","AGL"
"197","AGO1"
"198","AGO2"
"199","AGT"
"200","AGTR1"
"201","AHCTF1"
"202","AKIRIN2"
"203","AKR1A1"
"204","AKR1B15"
"205","AKR7A3"
"206","AKR7L"
"207","AKTIP"
"208","AL022724.1"
"209","AL023803.2"
"210","AL023806.1"
"211","AL031289.1"
"212","AL031777.2"
"213","AL034374.1"
"214","AL035071.1"
"215","AL035446.1"
"216","AL035665.1"
"217","AL049597.2"
"218","AL078604.3"
"219","AL080317.2"
"220","AL121652.1"
"221","AL121832.2"
"222","AL136038.5"
"223","AL136162.1"
"224","AL137159.1"
"225","AL137784.3"
"226","AL138820.1"
"227","AL138895.1"
"228","AL139161.1"
"229","AL139231.1"
"230","AL139393.2"
"231","AL160175.1"
"232","AL161937.2"
"233","AL162431.2"
"234","AL354694.1"
"235","AL354702.1"
"236","AL354714.2"
"237","AL355480.3"
"238","AL356364.1"
"239","AL359752.1"
"240","AL359885.1"
"241","AL359915.2"
"242","AL365203.2"
"243","AL365440.1"
"244","AL391069.3"
"245","AL445307.1"
"246","AL451007.2"
"247","AL512306.3"
"248","AL512329.2"
"249","AL512844.2"
"250","AL513550.1"
"251","AL589666.1"
"252","AL590135.1"
"253","AL590139.1"
"254","AL590235.1"
"255","AL590648.1"
"256","AL590762.3"
"257","AL591848.3"
"258","AL591926.3"
"259","AL591926.5"
"260","AL606489.1"
"261","ALAS1"
"262","ALDH16A1"
"263","ALDH1A3"
"264","ALDH3A1"
"265","ALDH5A1"
"266","ALDH9A1"
"267","ALG13"
"268","ALG8"
"269","ALPK2"
"270","ALX1"
"271","AMDHD2"
"272","AMOT"
"273","ANAPC13"
"274","ANAPC7"
"275","ANKLE2"
"276","ANKRD13C"
"277","ANKRD23"
"278","ANKRD29"
"279","ANKRD46"
"280","ANKRD52"
"281","ANKRD65"
"282","ANKS1A"
"283","ANP32A"
