"","HuAgeGBsplit_27....QGBCbyPGBC__"
"1","AC009041.2"
"2","AC009963.2"
"3","AC012512.1"
"4","AL160269.1"
"5","ARHGEF4"
"6","DHH"
"7","DIRAS1"
"8","DLL3"
"9","ENTHD1"
"10","ERBB3"
"11","GAL3ST1"
"12","GJC3"
"13","INPP5J"
"14","KCNK15"
"15","LGI4"
"16","LSMEM1"
"17","LURAP1"
"18","MIR29B2CHG"
"19","OSBP2"
"20","PTPRH"
"21","QRICH2"
"22","S100A5"
"23","SERPINE2"
"24","SMIM29"
"25","TFAP2A"
"26","VN1R80P"
"27","VWA5B2"
