"","HuAgeGBsplit_13....PGBObyQGBO__"
"1","AC009518.1"
"2","AC016396.1"
"3","AC116407.2"
"4","AC137695.2"
"5","AL078644.2"
"6","AL133406.3"
"7","AL159169.2"
"8","AOC2"
"9","ASS1P12"
"10","BVES"
"11","C19orf66"
"12","DCBLD2"
"13","DOCK9-AS2"
"14","FAM111A"
"15","FN1"
"16","ICAM1"
"17","IFI16"
"18","IGFBP3"
"19","LMO2"
"20","NDUFV2P1"
"21","PARP9"
"22","RNF213"
"23","RPL21P32"
"24","SAMD9"
"25","SAMD9L"
"26","SP140L"
"27","STAT2"
"28","TRAC"
"29","TYMP"
"30","UBA7"
"31","WARS"
