"","turquoise....QGBCbyPGBC__"
"1","A2M"
"2","AAAS"
"3","AATK"
"4","ABCA13"
"5","ABCA7"
"6","ABHD6"
"7","ABR"
"8","ABRAXAS1"
"9","AC002310.2"
"10","AC004839.1"
"11","AC004865.2"
"12","AC004910.1"
"13","AC004982.1"
"14","AC004982.2"
"15","AC005020.1"
"16","AC005261.5"
"17","AC005332.1"
"18","AC005332.3"
"19","AC005332.5"
"20","AC005332.8"
"21","AC005377.1"
"22","AC005696.4"
"23","AC005899.5"
"24","AC005920.4"
"25","AC006378.2"
"26","AC007637.1"
"27","AC007969.1"
"28","AC008267.3"
"29","AC008494.2"
"30","AC008663.2"
"31","AC009127.2"
"32","AC009133.3"
"33","AC009159.1"
"34","AC009159.4"
"35","AC009720.1"
"36","AC009812.1"
"37","AC009831.4"
"38","AC010198.1"
"39","AC010422.3"
"40","AC011374.2"
"41","AC011450.1"
"42","AC011458.2"
"43","AC011840.6"
"44","AC012313.6"
"45","AC012615.1"
"46","AC012645.1"
"47","AC015660.4"
"48","AC015813.4"
"49","AC016705.2"
"50","AC016876.1"
"51","AC016957.2"
"52","AC018521.4"
"53","AC018635.2"
"54","AC019322.4"
"55","AC020604.1"
"56","AC022182.2"
"57","AC022400.4"
"58","AC022417.1"
"59","AC022868.1"
"60","AC024560.3"
"61","AC024941.1"
"62","AC024941.2"
"63","AC025884.2"
"64","AC026150.1"
"65","AC026367.2"
"66","AC026471.1"
"67","AC027612.1"
"68","AC068944.1"
"69","AC069213.3"
"70","AC074131.1"
"71","AC079140.3"
"72","AC080080.1"
"73","AC084125.2"
"74","AC084864.1"
"75","AC087239.1"
"76","AC087491.1"
"77","AC090192.1"
"78","AC091185.1"
"79","AC092162.3"
"80","AC092171.4"
"81","AC092337.1"
"82","AC092437.1"
"83","AC092653.2"
"84","AC092724.1"
"85","AC092809.3"
"86","AC093458.2"
"87","AC093510.2"
"88","AC096887.1"
"89","AC099522.2"
"90","AC100793.4"
"91","AC103564.1"
"92","AC104057.1"
"93","AC105206.2"
"94","AC107294.1"
"95","AC107294.2"
"96","AC107294.3"
"97","AC107871.2"
"98","AC107958.2"
"99","AC108156.1"
"100","AC109454.4"
"101","AC110285.5"
"102","AC115618.1"
"103","AC122713.2"
"104","AC124944.3"
"105","AC125807.1"
"106","AC126178.1"
"107","AC126614.1"
"108","AC131212.1"
"109","AC132872.1"
"110","AC132938.1"
"111","AC135776.4"
"112","AC136475.5"
"113","AC138035.1"
"114","AC138696.1"
"115","AC138907.10"
"116","AC138907.8"
"117","AC138907.9"
"118","AC139495.3"
"119","AC141586.1"
"120","AC141586.2"
"121","AC234775.1"
"122","AC234778.2"
"123","AC234917.1"
"124","AC241377.3"
"125","AC241952.1"
"126","AC244517.3"
"127","AC246787.1"
"128","AC254633.1"
"129","ACADS"
"130","ACAP1"
"131","ACRBP"
"132","ACVR2B"
"133","AD000090.1"
"134","ADAM11"
"135","ADAMTSL5"
"136","ADGRL1"
"137","ADRB2"
"138","AF131216.2"
"139","AGAP2"
"140","AGER"
"141","AJM1"
"142","AKAP8L"
"143","AKNA"
"144","AKNAD1"
"145","AL008635.1"
"146","AL008707.1"
"147","AL021368.2"
"148","AL022310.1"
"149","AL022328.4"
"150","AL022334.2"
"151","AL031118.1"
"152","AL031602.1"
"153","AL035458.2"
"154","AL049796.1"
"155","AL109659.1"
"156","AL109976.1"
"157","AL117348.2"
"158","AL121782.1"
"159","AL132640.3"
"160","AL136141.1"
"161","AL136295.3"
"162","AL137003.1"
"163","AL137003.2"
"164","AL137026.1"
