"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"steelblue","NSCbyNPC__","User",4.64978157773753e-111
"greenyellow","QNPbyTAP__","User",1.63558979723304e-99
"steelblue","PSVZbyQSVZ__","User",1.04907278988771e-55
"steelblue","PGBCbyQGBC__","User",1.42833203881089e-47
"purple","QGBObyPGBO__","User",2.48499243086754e-43
"black","TAPbyQNP__","User",1.16212284070339e-35
"cyan","QNPbyTAP__","User",5.61142129117159e-35
"lightgreen","QNPbyTAP__","User",5.10938710304252e-30
"midnightblue","QNPbyTAP__","User",1.22853013785361e-29
"lightyellow","TAPbyQNP__","User",6.19086177162134e-26
"purple","TAPbyQNP__","User",3.06321166756144e-25
"lightyellow","PGBCbyQGBC__","User",3.71264908101121e-23
"black","PSVZbyQSVZ__","User",1.37957172809112e-22
"purple","PSVZbyQSVZ__","User",1.54512318279538e-22
"steelblue","TAPbyQNP__","User",2.16615309006069e-22
"tan","TAPbyQNP__","User",5.79347170865874e-21
"turquoise","TAPbyQNP__","User",1.26917558763942e-18
"purple","QNPbyTAP__","User",3.18019322915294e-16
"blue","PGBCbyQGBC__","User",3.21583132143103e-16
"turquoise","PGBCbyQGBC__","User",9.82158484203672e-16
"salmon","NSCbyNPC__","User",3.4291719477619e-15
"purple","PGBCbyQGBC__","User",2.31768951739532e-14
"blue","PGBObyQGBO__","User",9.79247670516636e-14
"lightyellow","PSVZbyQSVZ__","User",1.18817040292491e-13
"turquoise","PSVZbyQSVZ__","User",1.75779765556321e-13
"midnightblue","PGBCbyQGBC__","User",5.7721218540623e-13
"grey60","TAPbyQNP__","User",6.70288510587289e-13
"blue","QGBCbyPGBC__","User",2.14866780955591e-12
"tan","PSVZbyQSVZ__","User",1.15026420739145e-11
"grey60","PSVZbyQSVZ__","User",1.6183372309641e-11
"midnightblue","QSVZbyPSVZ__","User",3.64081627069216e-10
"black","QGBCbyPGBC__","User",7.8120489449929e-10
"midnightblue","PSVZbyQSVZ__","User",1.25316475471221e-09
"tan","NPCbyNSC__","User",1.52859299223562e-09
"lightyellow","QSVZbyPSVZ__","User",1.82688251650935e-09
"black","QSVZbyPSVZ__","User",7.24540865166873e-09
"turquoise","NPCbyNSC__","User",1.15700022995086e-08
"black","NPCbyNSC__","User",1.33350782093539e-08
"purple","QSVZbyPSVZ__","User",1.47071891755759e-08
"red","NPCbyNSC__","User",3.52901148810786e-08
"lightyellow","NPCbyNSC__","User",5.22861636125629e-08
"grey60","PGBCbyQGBC__","User",7.770260357135e-08
"purple","NPCbyNSC__","User",1.40128956576753e-07
"lightgreen","PGBCbyQGBC__","User",2.05933947674774e-07
"turquoise","QSVZbyPSVZ__","User",4.13382212618968e-07
"red","QSVZbyPSVZ__","User",4.14796769319373e-07
"greenyellow","PSVZbyQSVZ__","User",7.71896893195167e-07
"tan","QSVZbyPSVZ__","User",9.19534506948931e-07
"tan","QGBCbyPGBC__","User",1.0340903266056e-06
"black","NSCbyNPC__","User",1.95642925103877e-06
"red","TAPbyQNP__","User",1.1016547748232e-05
"salmon","PGBCbyQGBC__","User",1.94466855963239e-05
"midnightblue","NSCbyNPC__","User",4.4181830069035e-05
"lightgreen","PSVZbyQSVZ__","User",4.88937632667294e-05
"lightyellow","NSCbyNPC__","User",9.02520923407381e-05
"grey60","NSCbyNPC__","User",0.000128325984566084
"red","QGBCbyPGBC__","User",0.000189252779882043
"turquoise","QNPbyTAP__","User",0.000194229372669007
"darkgreen","PGBObyQGBO__","User",0.000607865553177495
"greenyellow","QGBCbyPGBC__","User",0.00124352836251133
"greenyellow","NSCbyNPC__","User",0.00145737074469949
"cyan","PGBCbyQGBC__","User",0.00148927023114982
"grey60","QSVZbyPSVZ__","User",0.00299463291243708
"tan","NSCbyNPC__","User",0.00428129248686673
"blue","QSVZbyPSVZ__","User",0.00468275165771638
"greenyellow","PGBCbyQGBC__","User",0.00511257587469643
"turquoise","NSCbyNPC__","User",0.00529989413619761
"lightgreen","QSVZbyPSVZ__","User",0.00654506371019891
"greenyellow","NPCbyNSC__","User",0.0106574188648694
"blue","NPCbyNSC__","User",0.0114619047312925
"cyan","PSVZbyQSVZ__","User",0.0164557381256001
"lightgreen","NPCbyNSC__","User",0.0199811012273833
"cyan","NPCbyNSC__","User",0.0214243689258149
"purple","NSCbyNPC__","User",0.0490361795567206
