"","HuAgeGBsplit_04....QGBCbyPGBC__"
"1","AC073150.1"
"2","AC117498.3"
"3","AC244452.1"
"4","ATP12A"
"5","ATP6V1E1P1"
"6","BCAM"
"7","CCDC17"
"8","CPSF4L"
"9","GPR179"
"10","IMPDH1P5"
"11","LINC00482"
"12","LYPD2"
"13","MED15P9"
"14","MTNR1B"
"15","MYH7B"
"16","OR13J1"
"17","OR9A3P"
"18","S100A7"
"19","SLC25A47"
"20","SLC39A5"
"21","SLURP1"
"22","SRSF1P1"
"23","TMEM270"
"24","TRAJ21"
"25","TRAJ42"
"26","XKRX"
