"","magenta....NSCbyNPC__"
"1","ABCB1"
"2","AKAP13"
"3","AP5B1"
"4","ARPC3"
"5","C1orf54"
"6","CDC42"
"7","CNR2"
"8","DUSP22"
"9","EPS15"
"10","FAM234A"
"11","FZD10"
"12","HMGA1"
"13","ITSN2"
"14","KCNQ4"
"15","LIPH"
"16","MVP"
"17","RASSF4"
"18","RLN2"
"19","RNF4"
"20","RREB1"
"21","SEPHS2"
"22","SERP1"
"23","SLC3A2"
"24","SMTN"
"25","STK3"
"26","TMEM173"
"27","TMEM8A"
"28","TPST2"
"29","WHRN"
"30","ZRANB3"
