"","turquoise....NSCbyNPC__"
"647","SETDB1"
"648","SF3A2"
"649","SF3B4"
"650","SF3B5"
"651","SFMBT1"
"652","SFT2D1"
"653","SGK3"
"654","SGPP1"
"655","SH2B3"
"656","SH3BP2"
"657","SH3GLB1"
"658","SHMT2"
"659","SIAH1"
"660","SIN3A"
"661","SLBP"
"662","SLC11A2"
"663","SLC15A3"
"664","SLC17A7"
"665","SLC25A11"
"666","SLC25A45"
"667","SLC27A3"
"668","SLC29A1"
"669","SLC29A3"
"670","SLC2A4"
"671","SLC37A2"
"672","SLC38A7"
"673","SLC40A1"
"674","SLC45A4"
"675","SLC4A11"
"676","SLC4A8"
"677","SLC7A7"
"678","SMAD2"
"679","SMAP2"
"680","SMCHD1"
"681","SMIM22"
"682","SMPD4"
"683","SMUG1"
"684","SMYD4"
"685","SNAP23"
"686","SNCAIP"
"687","SNRNP200"
"688","SNRPA"
"689","SNRPF"
"690","SNX17"
"691","SNX25"
"692","SNX3"
"693","SORD"
"694","SP1"
"695","SP3"
"696","SPG11"
"697","SPIDR"
"698","SPPL2B"
"699","SRGN"
"700","SRSF1"
"701","SSRP1"
"702","ST3GAL1"
"703","STARD8"
"704","STK11"
"705","STK11IP"
"706","STRAP"
"707","STX2"
"708","STXBP2"
"709","SUDS3"
"710","SUPT5H"
"711","SUSD3"
"712","SYCE2"
"713","SYNCRIP"
"714","SYNGR4"
"715","SYT4"
"716","TAB2"
"717","TACC1"
"718","TACC3"
"719","TARBP1"
"720","TBC1D10A"
"721","TBC1D31"
"722","TBL1X"
"723","TBL3"
"724","TBXAS1"
"725","TCEA1"
"726","TCF24"
"727","TCP1"
"728","TCTN1"
"729","TEAD2"
"730","TERF1"
"731","TESK2"
"732","TFB1M"
"733","TFE3"
"734","TGFB1"
"735","TGFBR1"
"736","TGFBRAP1"
"737","TICRR"
"738","TIGD3"
"739","TIMD4"
"740","TJAP1"
"741","TLK1"
"742","TLN2"
"743","TLNRD1"
"744","TLR8"
"745","TMEM106C"
"746","TMEM170B"
"747","TMEM176A"
"748","TMEM176B"
"749","TMEM214"
"750","TMEM37"
"751","TMEM69"
"752","TMPO"
"753","TMTC3"
"754","TNFRSF10B"
"755","TNFRSF11A"
"756","TNFRSF1A"
"757","TNFRSF4"
"758","TNIP2"
"759","TNPO2"
"760","TOE1"
"761","TOMM40"
"762","TOP1"
"763","TOP3B"
"764","TOR3A"
"765","TOX3"
"766","TPR"
"767","TRAFD1"
"768","TRAM1"
"769","TRAPPC12"
"770","TRAPPC9"
"771","TRIB1"
"772","TRIB2"
"773","TRIB3"
"774","TRIL"
"775","TRIM26"
"776","TRPV2"
"777","TSC2"
"778","TSC22D3"
"779","TTC13"
"780","TTLL4"
"781","TUBA4A"
"782","TUBGCP4"
"783","TUFT1"
"784","TWF2"
"785","TXNRD1"
"786","U2AF2"
"787","UBAP2L"
"788","UBC"
"789","UBE2F-SCLY"
"790","UBE2Q1"
"791","UBN1"
"792","UBQLN4"
"793","UCHL5"
"794","UCP2"
"795","UGGT1"
"796","UHRF1BP1"
"797","UNG"
"798","USP14"
"799","USP21"
"800","USP5"
"801","USP7"
"802","UVRAG"
"803","VASP"
"804","VAV1"
"805","VPS18"
"806","VPS4B"
"807","VPS52"
"808","WASHC4"
"809","WASHC5"
"810","WDR18"
"811","WDR26"
"812","WDR35"
"813","WDSUB1"
"814","WRN"
"815","WWP1"
"816","XPOT"
"817","XRCC1"
"818","ZADH2"
"819","ZBTB14"
"820","ZC3H3"
"821","ZDHHC14"
"822","ZDHHC5"
"823","ZHX2"
