"","lightyellow....QNPbyTAP__"
"1","ARFGAP1"
"2","BCL2L1"
"3","BLCAP"
"4","CENPB"
"5","CHMP4B"
"6","CST3"
"7","DSTN"
"8","EDEM2"
"9","ESRRA"
"10","KCNJ16"
"11","MAVS"
"12","MOCS3"
"13","NOG"
"14","NXF1"
"15","PLCG1"
"16","PRNP"
"17","PXMP4"
"18","PYGB"
"19","RAB22A"
"20","RASL11B"
"21","RBCK1"
"22","RTF2"
"23","SAXO2"
"24","SCAND1"
"25","SEC14L1"
"26","SERINC3"
"27","SHC1"
"28","TRPM3"
"29","TTPAL"
"30","UCKL1"
