"","green....TAPbyQNP__"
"1","ANP32E"
"2","CMC1"
"3","CTNNB1"
"4","CUTA"
"5","DERL1"
"6","EDIL3"
"7","FAM126B"
"8","FARS2"
"9","GPATCH2"
"10","HS2ST1"
"11","JAKMIP2"
"12","LRIF1"
"13","MAGI2"
"14","MAT2A"
"15","METTL25"
"16","MTMR3"
"17","NKAIN2"
"18","PPFIA2"
"19","PPP2R2B"
"20","PRICKLE2"
"21","RAB27B"
"22","RAP1A"
"23","RAPH1"
"24","RIMS2"
"25","RORA"
"26","RPEL1"
"27","SMLR1"
"28","STARD7"
"29","TENM2"
"30","THOC7"
"31","TMEM117"
"32","TMTC2"
"33","TPD52"
"34","TUBA1A"
