"","blue....NSCbyNPC__"
"1","AACS"
"2","AAGAB"
"3","ABCB7"
"4","ABCC3"
"5","ABCD2"
"6","ABCE1"
"7","ABCG2"
"8","ABRACL"
"9","ACKR3"
"10","ACSL4"
"11","ACTL6A"
"12","ACTN4"
"13","ACTR3"
"14","ACVRL1"
"15","ADAP2"
"16","ADAT2"
"17","ADCY1"
"18","ADCY7"
"19","ADRB1"
"20","ADSS"
"21","AFF1"
"22","AGPS"
"23","ALDH2"
"24","ALDH3B1"
"25","ALOX5AP"
"26","ALS2CL"
"27","AMOTL2"
"28","ANAPC1"
"29","ANAPC15"
"30","ANLN"
"31","ANO6"
"32","ANXA5"
"33","AP1G2"
"34","APLF"
"35","ARAP1"
"36","ARHGAP31"
"37","ARHGEF3"
"38","ARID5A"
"39","ARID5B"
"40","ARMC8"
"41","ARMT1"
"42","ARNT"
"43","ATAD5"
"44","ATF6"
"45","ATG5"
"46","ATIC"
"47","ATM"
"48","ATP6V0A2"
"49","ATR"
"50","B3GALNT1"
"51","BAG3"
"52","BCHE"
"53","BCL2L12"
"54","BLM"
"55","BLNK"
"56","C12orf65"
"57","C12orf66"
"58","C19orf47"
"59","C1orf174"
"60","C1orf74"
"61","C1R"
"62","C1RL"
"63","C4orf46"
"64","C9orf64"
"65","CACTIN"
"66","CAMK2A"
"67","CASP8"
"68","CASP9"
"69","CBFB"
"70","CCDC50"
"71","CCDC77"
"72","CCK"
"73","CCL8"
"74","CCNE1"
"75","CCNO"
"76","CD163"
"77","CD164"
"78","CD209"
"79","CD22"
"80","CD300C"
"81","CD300LB"
"82","CD69"
"83","CD72"
"84","CD86"
"85","CD93"
"86","CDC42SE1"
"87","CDH20"
"88","CDV3"
"89","CEBPG"
"90","CENPA"
"91","CENPC"
"92","CENPL"
"93","CEP350"
"94","CEP57L1"
"95","CEP68"
"96","CEP89"
"97","CER1"
"98","CFLAR"
"99","CFP"
"100","CGGBP1"
"101","CHAC1"
"102","CHAF1A"
"103","CHCHD4"
"104","CHRDL1"
"105","CHRM4"
"106","CHRNA4"
"107","CHST3"
"108","CIAPIN1"
"109","CLEC10A"
"110","CLEC14A"
"111","CMC2"
"112","CMIP"
"113","CMTM6"
"114","CNOT6L"
"115","COLCA2"
"116","CPNE3"
"117","CPTP"
"118","CSF1R"
"119","CSF2RA"
"120","CSNK1D"
"121","CSTF2"
"122","CTBS"
"123","CTDSP1"
"124","CTPS1"
"125","CTSC"
"126","CTSS"
"127","CX3CL1"
"128","CX3CR1"
"129","CYFIP1"
"130","DAPP1"
"131","DARS2"
"132","DBR1"
"133","DCK"
"134","DCP1A"
"135","DDX39A"
"136","DEF6"
"137","DENND1C"
"138","DENND2D"
"139","DEPDC7"
"140","DERA"
"141","DFFB"
"142","DHRS3"
"143","DHX37"
"144","DISP3"
"145","DKC1"
"146","DLL1"
"147","DNAJB11"
"148","DNAJC13"
"149","DNAJC14"
"150","DNAJC16"
"151","DNASE1L1"
"152","DOCK11"
"153","DOCK8"
"154","DOK2"
"155","DPH2"
"156","DRAM2"
"157","DRAXIN"
"158","DUS2"
"159","DUSP7"
"160","E2F3"
"161","EBI3"
"162","EDEM1"
"163","EDEM3"
"164","EDNRB"
"165","EEF2KMT"
"166","EEFSEC"
"167","EHD1"
"168","EHD4"
"169","EID2"
"170","EIF4E2"
"171","EIF4G2"
"172","ELOA"
"173","EMB"
"174","EMP1"
"175","EPB41L5"
"176","EPN1"
"177","EPS8"
"178","ERI1"
"179","ERI2"
"180","ETFDH"
"181","ETS2"
"182","ETV3"
"183","ETV6"
"184","EXOC2"
"185","EXOC8"
"186","F13A1"
"187","FAAP24"
"188","FAM102B"
"189","FAM110A"
"190","FAM120C"
"191","FAM122B"
"192","FAM136A"
"193","FAM13A"
"194","FAM163B"
"195","FAM167B"
"196","FAM199X"
"197","FAM210A"
"198","FAM50A"
"199","FAM83D"
"200","FAM98B"
"201","FANCB"
"202","FANCD2"
"203","FARSB"
"204","FAS"
"205","FASTKD1"
"206","FAT1"
"207","FBLIM1"
"208","FBXL19"
"209","FGD2"
"210","FKBP5"
"211","FLNA"
"212","FLNB"
"213","FMNL3"
"214","FTO"
"215","FUCA2"
"216","G3BP2"
"217","GAB3"
"218","GALM"
"219","GALNT7"
"220","GAPDH"
"221","GAPT"
"222","GCFC2"
"223","GCNT1"
"224","GGT5"
"225","GLB1"
"226","GMNN"
"227","GMPS"
"228","GNRH1"
"229","GOLT1B"
"230","GPATCH3"
"231","GPD1L"
"232","GPR157"
"233","GPR65"
"234","GRWD1"
"235","GTF2E1"
"236","GXYLT1"
"237","H1FX"
"238","H2AFZ"
"239","HACD4"
"240","HCLS1"
"241","HCST"
"242","HDGFL2"
"243","HDLBP"
"244","HEATR1"
"245","HEATR5A"
"246","HFE"
"247","HIP1"
"248","HIST1H1D"
"249","HK3"
"250","HLTF"
"251","HLX"
"252","HMCES"
"253","HMG20B"
"254","HNRNPA2B1"
"255","HNRNPD"
"256","HNRNPL"
"257","HNRNPM"
"258","HPF1"
"259","HPGDS"
"260","HPN"
"261","HPRT1"
"262","HPS3"
"263","HRH1"
"264","HS1BP3"
"265","HS6ST1"
"266","IFNGR1"
"267","IFRD2"
"268","IGFBP6"
"269","IL10RA"
"270","IL13RA1"
"271","IL4R"
"272","IL6R"
"273","IMPDH2"
"274","ING2"
"275","INHBB"
"276","INSM1"
"277","INTS13"
"278","INTS3"
"279","IPO8"
"280","IPP"
"281","IQGAP1"
"282","IRAK4"
"283","IRF2"
"284","ITPRIPL1"
"285","IVNS1ABP"
"286","KBTBD8"
"287","KCNAB2"
"288","KCNIP3"
"289","KCNJ2"
"290","KCNK6"
"291","KCNV1"
"292","KCTD14"
"293","KIAA1614"
"294","KLF16"
